quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa
2016-07-01,4009462.35099186,2984310.072409313,399674.0379362918,625478.2406462553,74.4316771467141,11.81075397825888,15.600052722568272
2016-10-01,3998338.8113857796,3003278.552995328,363879.16304039035,631181.0953500615,75.11315810563902,10.806715744482533,15.786083299211487
2017-01-01,3972113.349752885,3009661.1048760707,361372.86080276,601079.3840740542,75.76976888293756,10.71994125487815,15.132483168221992
2017-04-01,3972873.4150542114,3012842.292326236,357448.48424461595,602582.6384833592,75.83534579556003,10.605864833072557,15.167426080076524
2017-07-01,3943956.484509915,2958874.8451346364,344676.18014767417,640405.4592276048,75.02300942608682,10.43350556748913,16.237640089154862
2017-10-01,3951490.3788309516,2950539.1497466536,360758.1315770679,640193.0975072302,74.66902021458472,10.89476724460244,16.201307257051486
2018-01-01,3991361.3988872394,2988618.250408478,349444.09381191444,653299.0546668469,74.87716474989415,10.468471160131294,16.367825144798502
2018-04-01,3918099.2820655107,2943862.952713658,326578.91124765715,647657.4181041955,75.13497593562094,9.985773324589516,16.52988787366228
2018-07-01,3862402.2458398473,2919843.1993400054,307363.8613100376,635195.1851898038,75.59655917466745,9.52414442375837,16.44559900186382
2018-10-01,3901169.5669249063,2949739.090147094,343825.24428790197,607605.2324899104,75.61166054292336,10.439305547887058,15.574950590236833
2019-01-01,3883367.1792606823,2950329.8223252026,330057.7171988047,602979.6397366748,75.97349635341175,10.061546485653857,15.527237366502916
2019-04-01,3899704.013227326,2935378.884630836,355668.1443179506,608656.9842785392,75.27183793114516,10.807142565554791,15.60777387755707
2019-07-01,3846577.67092413,2849510.4828891167,352967.7062584503,644099.4817765632,74.07910944911531,11.021705236106635,16.744741348790185
2019-10-01,3891034.852298685,2929504.1999005806,339397.8739153972,622132.7784827072,75.28856232603349,10.382625916939704,15.988877049383746
2020-01-01,3851649.22652344,2862601.8085277868,356280.09346911544,632767.3245265378,74.32145660656687,11.068442531181075,16.42847744724884
2020-04-01,3920242.1237057606,2827243.04680648,363877.2024724238,729121.8744268571,72.11909258640172,11.402804471396804,18.59889903273694
2020-07-01,3633944.556464196,2647124.6844869256,406804.8106851438,580015.061292127,72.84438833218083,13.320700799683094,15.961032213889295
2020-10-01,3686025.4473718917,2687311.022011457,405141.90318132925,593572.5221791051,72.90538441419305,13.100988535050126,16.10332133225824
2021-01-01,3640296.971863999,2684594.1503852336,369831.91796703346,585870.9035117318,73.74656988522005,12.108065793405896,16.094041448814515
2021-04-01,3584583.9198325295,2723441.782207856,320490.5321582058,540651.605466468,75.97651061089104,10.52883241344189,15.08268790905381
2021-07-01,3585777.65941347,2686769.435527865,302837.88780270366,596170.3360829011,74.92850061337444,10.129687783388471,16.62597050650423
2021-10-01,3602632.717581495,2689906.5902614435,294305.9126333415,618420.2146867099,74.66502419561718,9.862096360358223,17.16578577851437
2022-01-01,3633385.502015832,2752445.776479964,278632.52658040717,602307.1989554605,75.75430063649688,9.192521562345716,16.57702433780549
2022-04-01,3669306.5591015276,2782289.5564715452,268826.44819697307,618190.5544330091,75.82603174897497,8.810758023806411,16.847612606791305
2022-07-01,3638378.2280821083,2751883.9275205396,252957.02821685263,633537.272344716,75.63490530700365,8.418316707706635,17.412628171938888
2022-10-01,3729826.040227146,2728780.9270034684,320620.8842369558,680424.2289867217,73.16107769029585,10.51422226664628,18.242787241232403
2023-01-01,3816376.102325014,2833732.1830688748,330508.993835125,652134.9254210142,74.25191089899414,10.445126504500715,17.087805497569285
