ONS_CODE,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024
E14000667,100.0,79.3,82.3,82.4,78.9,93.0,93.7,83.9,84.3,92.3,81.0,86.8,73.2
E14000668,85.5,84.9,77.3,77.7,71.6,35.4,43.7,,31.4,48.4,58.6,89.7,87.6
E14000669,70.3,75.2,77.3,81.0,72.2,65.6,55.2,,61.6,72.4,85.9,100.0,100.0
E14000670,77.1,85.4,83.3,,,,,48.2,,,,,74.6
E14000671,,,,71.0,100.0,100.0,100.0,,100.0,100.0,76.9,84.2,69.8
E14000672,95.3,90.0,81.2,,86.9,68.7,53.9,49.2,62.8,80.2,77.6,77.7,69.0
E14000673,70.7,65.4,53.1,57.1,68.8,81.1,100.0,,,,,,
E14000674,70.9,69.4,56.7,89.2,88.7,88.3,,,,,,,
E14000675,100.0,,,,100.0,100.0,100.0,,,100.0,,,
E14000676,,,,,,,,,,,,,
E14000677,100.0,84.1,87.5,85.6,82.0,100.0,,,,,100.0,82.1,80.6
E14000678,71.8,65.1,81.5,85.0,77.7,70.0,62.6,72.4,90.1,90.2,85.9,,73.7
E14000679,,,34.3,74.9,73.7,66.7,84.9,81.4,77.5,100.0,100.0,100.0,89.5
E14000680,82.8,91.6,88.6,68.6,65.8,60.7,53.9,57.6,59.2,74.6,100.0,100.0,74.9
E14000681,91.7,90.6,87.6,74.4,100.0,76.6,53.2,54.2,,71.2,71.6,65.1,65.0
E14000682,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,,
E14000683,53.1,73.0,82.5,81.4,78.3,,,60.9,68.7,89.5,91.5,100.0,100.0
E14000684,89.3,90.8,90.6,82.2,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0
E14000685,89.0,76.1,78.1,90.1,82.6,90.3,88.2,75.1,81.7,,,,
E14000686,100.0,100.0,100.0,,,,,,,,,100.0,100.0
E14000687,,,65.4,,,100.0,,,,,,,
E14000688,100.0,100.0,100.0,100.0,73.0,82.6,81.3,,,100.0,100.0,100.0,100.0
E14000689,100.0,100.0,90.3,76.9,75.7,77.0,73.4,79.7,82.0,,,,
E14000690,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
E14000691,53.3,59.6,66.9,69.4,69.8,61.5,70.8,100.0,,,100.0,100.0,100.0
E14000692,92.7,72.8,73.0,58.7,67.8,61.7,79.9,72.8,,,,,100.0
E14000693,53.7,54.1,78.1,78.1,100.0,75.1,65.5,50.8,63.8,62.9,78.7,68.7,50.7
E14000694,74.3,66.2,78.3,,73.3,,69.3,86.4,83.7,81.2,80.2,66.5,67.0
E14000695,100.0,100.0,80.8,76.3,70.2,71.5,70.6,73.5,80.9,87.3,100.0,100.0,100.0
E14000696,89.8,86.7,77.7,77.3,54.9,53.5,47.0,,66.6,55.6,56.5,74.3,76.1
E14000697,72.4,80.4,73.4,54.4,62.9,,,100.0,100.0,,,100.0,86.1
E14000698,51.2,67.5,44.4,32.9,27.7,,,29.9,45.1,49.1,67.6,,
E14000699,72.5,73.3,66.3,77.0,76.9,86.3,100.0,100.0,,,,,
E14000700,100.0,100.0,100.0,100.0,80.7,86.5,81.7,75.3,,,,,78.8
E14000701,54.4,65.8,75.3,76.9,85.3,100.0,100.0,100.0,100.0,,,,
E14000702,65.9,68.0,74.4,84.2,89.7,85.1,73.4,72.1,84.1,91.3,92.5,79.2,66.8
E14000703,78.6,66.9,100.0,,,,,,,,,,
E14000704,100.0,100.0,100.0,100.0,100.0,100.0,90.1,56.9,55.5,61.4,,57.2,57.3
E14000705,92.9,90.8,75.3,54.3,52.9,,,,60.1,72.4,66.6,61.0,100.0
E14000706,88.5,80.0,80.3,66.1,63.7,81.5,74.0,71.4,,,,,55.7
E14000707,,,,,,,,,,,,,
E14000708,50.6,54.8,73.0,86.5,66.7,56.7,46.3,37.4,56.8,,,56.6,39.7
E14000709,87.0,85.4,81.0,100.0,100.0,100.0,83.2,77.9,80.3,74.3,86.1,91.2,91.3
E14000710,82.0,78.1,66.1,71.7,65.9,66.7,73.6,64.1,76.1,91.9,91.4,91.4,77.8
E14000711,83.0,79.7,72.1,62.1,74.8,84.0,100.0,87.5,89.4,73.5,64.4,71.8,61.6
E14000712,90.0,85.4,79.8,82.1,69.4,69.6,70.3,69.5,85.5,100.0,100.0,100.0,100.0
E14000713,,,,,,32.3,58.8,84.7,100.0,100.0,100.0,100.0,100.0
E14000714,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,
E14000715,100.0,100.0,,,,74.6,81.5,86.2,100.0,100.0,100.0,100.0,100.0
E14000716,57.7,40.1,53.6,58.5,72.3,78.9,78.6,76.8,68.8,72.5,62.4,61.3,63.0
E14000717,,,,,,,100.0,100.0,79.6,60.4,47.2,,
E14000718,100.0,100.0,100.0,85.7,84.1,87.5,81.5,89.9,87.6,80.2,84.5,82.3,83.7
E14000719,29.3,39.3,38.8,69.6,100.0,,,,,,100.0,,
E14000720,,,,,37.1,60.6,48.6,100.0,100.0,100.0,100.0,100.0,85.8
E14000721,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.5,61.2,57.7,62.4
E14000722,100.0,100.0,,,,,,,83.6,89.4,92.7,100.0,86.4
E14000723,76.4,71.1,70.4,83.4,61.8,65.2,66.4,57.1,64.5,,,48.9,48.7
E14000724,73.8,79.2,71.3,81.6,43.1,,,,,,70.1,67.2,73.5
E14000725,85.6,88.9,85.0,90.1,85.0,89.9,92.8,84.6,89.1,89.4,89.1,85.2,82.8
E14000726,61.1,100.0,51.2,46.2,41.2,,,,,,47.9,72.7,66.8
E14000727,55.1,53.3,,,43.5,46.1,48.8,33.9,,,18.0,48.5,79.0
E14000728,42.5,57.1,100.0,83.4,91.6,93.9,84.1,71.2,69.7,77.9,65.5,72.7,66.3
E14000729,67.7,64.5,59.4,,,,,100.0,100.0,70.8,63.0,58.2,56.9
E14000730,80.6,87.0,,88.8,65.6,75.1,81.1,,,100.0,100.0,100.0,82.0
E14000731,,,67.0,90.0,100.0,100.0,,,,,,,
E14000732,35.1,67.6,83.3,75.9,62.1,65.7,61.6,80.4,100.0,100.0,100.0,100.0,67.3
E14000733,70.1,68.8,70.3,67.2,62.8,65.3,68.8,65.6,63.0,53.9,65.7,70.4,100.0
E14000734,85.4,100.0,100.0,100.0,74.2,76.7,66.9,72.8,83.6,88.0,,,59.3
E14000735,45.1,58.9,66.9,88.1,89.0,100.0,100.0,,,,100.0,100.0,89.6
E14000736,64.8,65.5,68.2,57.9,52.9,,,,,,100.0,100.0,100.0
E14000737,,70.2,64.5,71.1,52.4,42.0,58.8,,58.8,55.8,,,
E14000738,63.3,56.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.2
E14000739,72.4,69.7,74.8,67.1,,,,,,,,,
E14000740,78.6,88.8,66.8,71.3,68.7,44.5,90.2,85.7,86.2,100.0,100.0,49.3,48.0
E14000741,60.5,72.2,70.9,89.3,100.0,100.0,100.0,100.0,,50.9,45.3,39.8,54.1
E14000742,72.9,88.0,90.8,87.4,83.7,84.2,83.2,83.5,100.0,100.0,,,
