PCON22CD,Apr 2021-Mar 2022,Apr 2022-Mar 2023,Jan 2021-Dec 2021,Jan 2022-Dec 2022,Jul 2021-Jun 2022,Jul 2022-Jun 2023,Oct 2020-Sep 2021,Oct 2021-Sep 2022,Oct 2022-Sep 2023
E14000932,60.6,84.7,54.9,81.9,77.5,62.9,,79.4,56.1
E14000933,65.4,,72.7,,66.5,48.6,86.9,52.1,54.1
E14000934,69.7,36.1,61.3,33.2,55.0,29.1,46.6,44.9,27.4
E14000935,50.6,74.0,54.3,68.0,48.6,64.0,61.4,,54.9
E14000936,,43.7,50.8,50.9,,49.6,53.8,71.0,42.1
E14000937,,50.2,,49.6,43.3,53.9,37.0,30.8,74.1
E14000938,61.7,70.9,49.0,69.8,62.4,,78.1,50.0,0.0
E14000939,,83.3,,73.5,,79.1,,0.0,0.0
E14000940,,77.6,39.1,,54.1,53.3,32.4,,40.7
E14000941,71.6,54.8,81.0,42.7,78.9,59.4,,59.5,63.8
E14000942,38.0,59.9,24.8,56.5,78.1,39.5,40.6,64.4,65.7
E14000943,,85.6,,0.0,,100.0,47.9,,0.0
E14000944,57.1,47.2,50.4,45.2,58.3,43.5,47.3,44.1,53.6
E14000945,52.3,,51.8,,67.5,,44.8,80.8,0.0
E14000946,,0.0,,0.0,,0.0,,0.0,0.0
E14000947,53.4,43.2,38.5,64.0,75.0,39.9,32.0,59.1,0.0
E14000948,,0.0,,0.0,,0.0,,0.0,0.0
E14000949,,0.0,,0.0,,0.0,35.1,,0.0
E14000950,36.2,41.1,34.6,39.9,34.0,71.3,42.8,37.4,56.3
E14000951,30.1,,18.5,24.2,22.6,,0.0,17.4,0.0
E14000952,29.9,,31.8,,0.0,,42.0,29.2,0.0
E14000953,,51.4,,35.7,53.4,31.3,,0.0,57.8
E14000954,46.9,67.3,,66.5,46.6,72.8,63.1,62.9,0.0
E14000955,77.4,32.8,65.1,,57.3,53.5,58.1,28.3,65.2
E14000956,30.7,78.4,28.5,69.8,,84.1,33.1,66.5,82.4
E14000957,72.4,41.3,67.2,45.9,73.0,35.8,69.9,57.8,32.2
E14000958,71.6,,53.9,53.9,77.7,,42.7,62.2,0.0
E14000959,41.2,59.9,55.0,38.5,34.2,72.0,76.7,,73.2
E14000960,,58.5,,55.5,52.6,,0.0,54.2,68.3
E14000961,100.0,80.3,83.3,76.1,75.3,100.0,86.7,78.5,76.6
E14000962,37.8,55.5,36.6,41.3,43.2,100.0,36.9,44.2,100.0
E14000963,27.7,55.4,33.9,35.3,26.5,57.4,30.1,34.1,55.5
E14000964,,0.0,,0.0,,0.0,55.8,,0.0
E14000965,,0.0,,0.0,,0.0,,0.0,0.0
E14000966,55.5,47.1,,40.4,55.1,42.1,,44.5,0.0
E14000967,,0.0,,41.4,,0.0,,0.0,40.5
E14000968,,0.0,,0.0,,0.0,50.8,,0.0
E14000969,36.6,,34.2,,36.7,,38.9,,75.4
E14000970,59.5,50.4,48.1,73.2,71.3,46.8,45.0,77.1,41.7
E14000971,23.6,52.2,32.9,38.5,30.8,48.2,40.5,35.0,38.1
E14000972,78.2,,72.1,,69.8,,54.5,54.7,0.0
E14000973,64.3,,81.2,,50.2,,61.9,53.1,0.0
E14000974,,52.0,36.2,55.5,,67.3,53.8,48.3,53.1
E14000975,35.9,100.0,53.2,75.0,58.9,100.0,51.7,,73.5
E14000976,28.4,,30.3,,0.0,,25.9,,0.0
E14000977,75.4,,64.1,15.5,50.8,41.7,71.1,22.4,0.0
E14000978,,0.0,52.6,,0.0,,0.0,,0.0
E14000979,23.2,40.4,21.5,47.2,19.3,51.6,40.1,,49.7
E14000980,63.8,56.0,46.6,62.4,60.0,52.0,36.5,65.7,49.4
E14000981,37.1,53.4,38.2,52.6,46.0,63.2,56.2,45.5,71.4
E14000982,34.7,,26.1,23.2,44.0,,24.4,32.0,0.0
E14000983,64.8,57.7,86.9,55.1,76.1,54.5,55.2,59.8,86.2
E14000984,28.2,26.6,41.3,36.8,40.6,21.1,42.9,53.3,0.0
E14000985,34.3,55.0,,72.4,33.6,52.9,,54.7,0.0
E14000986,,0.0,,0.0,,0.0,,0.0,0.0
E14000987,,0.0,,0.0,,0.0,,0.0,0.0
E14000988,58.1,41.6,42.5,49.2,23.3,48.1,51.2,34.2,49.0
E14000989,51.8,42.9,57.9,44.1,46.6,45.2,59.2,45.5,47.4
E14000990,34.3,47.9,44.6,40.4,49.3,,34.7,41.2,0.0
E14000991,38.0,44.9,,33.3,36.5,40.5,,31.0,61.9
E14000992,40.9,59.3,36.6,78.1,66.1,,18.4,65.9,0.0
E14000993,45.0,36.3,32.4,43.6,34.7,36.4,32.7,46.7,0.0
E14000994,46.6,,42.8,,47.0,,43.4,,0.0
E14000995,64.3,46.0,51.5,54.6,65.1,50.7,38.8,64.2,38.4
E14000996,66.7,39.6,55.9,63.7,57.4,25.7,56.9,85.6,0.0
E14000997,,0.0,,37.5,,49.0,50.5,36.6,0.0
E14000998,,56.2,,51.5,47.3,,0.0,58.1,0.0
E14000999,52.5,47.9,55.7,43.3,46.6,49.4,61.1,36.3,53.6
E14001000,45.2,84.2,46.0,81.5,67.4,,58.7,61.4,0.0
E14001001,64.5,62.3,70.4,39.7,53.1,58.8,67.0,38.1,63.0
E14001002,,0.0,,0.0,,0.0,,0.0,0.0
E14001003,,0.0,,44.0,51.5,,54.5,51.7,0.0
E14001004,41.2,63.6,23.0,59.0,61.2,54.1,18.8,51.8,63.7
E14001005,,25.9,21.7,27.9,17.1,22.7,21.9,18.5,0.0
E14001006,51.2,61.6,54.1,62.8,52.6,47.8,55.6,61.1,44.5
E14001007,52.6,50.9,45.7,72.5,41.2,85.7,61.9,52.7,52.0
E14001008,,47.8,,45.8,,48.2,,0.0,60.1
E14001009,,34.7,28.1,35.2,,40.6,43.2,,0.0
E14001010,,0.0,,0.0,,0.0,,0.0,0.0
E14001011,,0.0,,0.0,,0.0,,0.0,0.0
E14001012,38.2,,36.4,,0.0,,0.0,,0.0
E14001013,,0.0,,0.0,,0.0,,0.0,0.0
E14001014,74.3,61.1,68.7,69.9,73.2,34.4,68.7,91.4,0.0
E14001015,48.6,77.9,37.7,67.1,63.2,,60.8,59.4,0.0
E14001016,46.4,25.4,60.1,23.3,,55.6,59.4,,58.3
E14001017,61.3,36.9,52.7,49.9,51.2,49.7,49.8,49.6,47.5
E14001018,41.2,45.2,47.8,31.1,39.9,38.1,47.2,34.5,53.5
E14001019,18.5,34.7,30.5,50.8,19.0,45.5,52.0,31.5,0.0
E14001020,49.1,34.7,56.7,32.1,40.0,56.8,41.4,45.2,62.1
E14001021,21.1,,28.8,,0.0,,36.6,,0.0
E14001022,47.2,49.6,58.5,39.1,,44.0,65.4,33.3,0.0
E14001023,47.9,50.2,52.9,52.0,58.7,,44.8,59.2,31.9
E14001024,73.3,,76.3,72.5,64.4,,68.3,74.8,0.0
E14001025,51.1,,60.3,26.1,40.7,46.3,51.3,36.6,53.4
E14001026,76.0,74.4,77.5,93.7,73.7,67.6,73.4,73.5,0.0
E14001027,54.9,48.2,67.0,50.4,71.2,49.3,73.0,51.1,65.9
E14001028,67.0,35.1,81.4,37.6,63.1,,49.7,50.9,0.0
E14001029,,87.2,,68.8,65.2,80.9,,62.8,82.1
E14001030,,41.7,,28.2,,48.6,,0.0,0.0
E14001031,69.0,,72.3,,0.0,,59.3,64.5,49.1
E14001032,,0.0,,0.0,,0.0,,0.0,0.0
E14001033,,59.8,,47.8,,63.4,,0.0,51.7
E14001034,,64.7,39.4,66.6,65.6,,51.9,64.0,0.0
E14001035,80.4,,59.6,,100.0,,57.7,,0.0
E14001036,,49.8,,36.3,40.2,,0.0,36.2,0.0
E14001037,59.8,,66.3,,36.7,,52.7,,54.1
E14001038,61.4,70.2,52.5,67.6,73.5,72.0,52.2,77.0,61.9
E14001039,,55.3,,43.2,,53.1,,42.6,0.0
E14001040,39.6,,43.9,21.2,30.3,,0.0,26.6,0.0
E14001041,43.2,34.2,40.3,37.6,25.9,44.5,43.3,32.6,46.5
E14001042,45.0,34.4,44.7,45.9,43.0,38.4,40.1,42.4,25.3
E14001043,55.2,58.4,54.5,45.2,49.8,,38.3,47.3,0.0
E14001044,54.6,,0.0,78.2,59.6,,0.0,74.1,0.0
E14001045,,0.0,,0.0,,0.0,38.3,,0.0
E14001046,75.2,,37.7,63.3,75.4,49.1,,71.5,41.0
E14001047,28.5,42.3,17.1,59.3,49.6,37.3,28.6,66.4,0.0
E14001048,48.6,38.5,31.0,50.4,47.4,38.2,33.4,43.3,47.6
E14001049,,43.5,,0.0,,0.0,,0.0,0.0
E14001050,,48.2,,37.4,,56.6,39.7,37.3,0.0
E14001051,,0.0,43.4,,0.0,,46.3,,0.0
E14001052,42.0,,0.0,35.8,,0.0,,46.3,0.0
E14001053,47.6,62.3,41.9,53.7,48.8,57.9,38.8,56.9,63.3
E14001054,44.6,40.2,48.3,48.9,45.8,52.3,35.9,45.2,33.0
E14001055,61.5,,44.5,,56.9,,73.3,,0.0
E14001056,41.4,53.0,46.4,51.9,42.0,,42.9,47.6,0.0
E14001057,51.8,,49.1,42.8,46.8,,57.3,37.0,0.0
E14001058,,0.0,57.5,,0.0,,64.1,,0.0
E14001059,63.6,30.6,57.1,48.1,59.4,64.6,41.8,43.7,86.8
E14001060,,47.8,22.6,,0.0,53.7,,23.9,53.0
E14001061,52.6,59.2,40.6,55.2,59.5,37.5,30.7,69.1,0.0
E14001062,45.0,49.8,50.1,44.4,48.3,51.1,48.3,47.8,60.8
