ONS_CODE,Apr 2020-Mar 2021,Jul 2020-Jun 2021,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024
E14001103,,,,,,,,,,,,,
E14001104,,,,,,,,,,,,,
E14001105,12.2,14.6,11.1,8.9,11.2,11.5,16.2,13.8,14.8,15.7,,,41.5
E14001106,12.1,12.7,10.2,,,,,,,,,,
E14001107,33.9,27.9,21.1,23.4,,19.4,28.4,25.0,20.3,23.0,,,
E14001108,,,,,,,,,,,,,
E14001109,,,,,,,,,,,,,
E14001110,,,,,,,,,,,,,
E14001111,,,,,,,,38.5,,,58.5,,68.0
E14001112,,,,,,,,,,,,,
E14001113,,,,,,,11.7,18.2,,,,,
E14001114,,,,,,44.3,29.9,27.4,19.7,,,,
E14001115,27.6,26.9,15.6,15.9,,,,25.3,16.6,16.7,13.6,,
E14001116,,,,,,,,,,26.8,29.2,27.6,34.5
E14001117,8.8,14.9,15.3,14.1,16.7,,6.3,5.9,9.0,8.1,10.9,14.2,13.8
E14001118,,,,,,,,,,,,,
E14001119,,,,,,,,,,,,,
E14001120,,,,,,,,,,,59.8,61.9,56.2
E14001121,,,,,,,,,,,,,
E14001122,,,,,,,,,,,,,
E14001123,,,,,,,,,,,,,
E14001124,,,,,,,,,,,,,
E14001125,,,,,,,,,,,,,
E14001126,,,,,,,,,,,,,
E14001127,,,,,,,,,,,,,
E14001128,11.4,13.1,12.3,,,,,,,,,,20.8
E14001129,,,,29.8,28.4,29.1,32.0,,,,,,
E14001130,23.8,23.9,,,,,,,17.5,,,,
E14001131,,,,,,,,,,,,,
E14001132,,,,,,,,,,,,,
E14001133,,20.2,,,,,,,,,,,
E14001134,,,34.7,30.8,20.6,18.8,,,,,,,
E14001135,36.9,35.7,,,,,,,,27.2,,,25.0
E14001136,,,,,,,,,,,,,
E14001137,39.2,28.7,,24.8,,,,,,,,,
E14001138,,,,,20.7,31.0,28.5,,,,,,
E14001139,,25.5,36.3,37.5,,,,,,,,,
E14001140,32.5,31.6,18.7,,,,,,,,,,
E14001141,,,,,,,,,,,,,21.9
E14001142,,,,,,,,,,,,,
E14001143,,,,,,,,,,,,,
E14001144,,,,,,,,,,,,,
E14001145,31.8,23.3,18.9,18.2,21.8,,19.6,,,,,,
E14001146,,,,,,,,,,23.4,23.7,20.5,
E14001147,,,,,,,,,,,,,
E14001148,,,,,,,,,,,,,
E14001149,,,,,,,,,24.8,37.2,,,
E14001150,,,,,,,,,,,,,
E14001151,,,,,,,,,,,,,
E14001152,,,,,,,,,,,,,
E14001153,,19.3,23.0,22.6,30.0,,,,,30.8,,,
E14001154,,,,,30.6,24.6,22.5,,,,,,
E14001155,,,,,,,,,,,,,
E14001156,43.9,54.8,34.3,29.0,,,,,,,,,
E14001157,,,,,,,,,,,,,
E14001158,,,,,,,,,,,,,
E14001159,,,,,,,,,,,,,
E14001160,,,,,,,,,,,,,
E14001161,,,,,,,,,,,,,
E14001162,,,,,,,,,,,,,
E14001163,,,,,,,,,,,,,
E14001164,,,,,,,,,,,,,
E14001165,29.7,26.6,24.7,,,,,,,,,,
E14001166,,,,,,,,,,,,,
E14001167,30.0,44.5,34.4,26.1,,,,,,,,,
E14001168,,,,,,,,,,,,,
E14001169,,37.2,39.5,35.2,43.0,,,,,,,,
E14001170,,,,,,,,,,,,,
E14001171,,13.8,16.5,12.6,21.3,,33.3,33.6,32.4,,,,
E14001172,,,20.9,,,32.2,,,,,,,
E14001173,,26.8,,,30.5,30.7,26.9,17.0,,,,,
E14001174,,,,,,,,,,,,,
E14001175,,,,,,,,,,,,,
E14001176,,,,,,,,,,,,,
E14001177,,,,,,,,,,,,,
E14001178,42.2,50.7,44.2,,,,,,,,,,
E14001179,,,,,,,,,,,,,
E14001180,,,,27.7,21.6,24.9,22.3,,,,,,
E14001181,,20.7,22.0,28.3,40.4,21.2,,,,,,,33.0
E14001182,,,40.8,16.0,17.1,16.3,16.3,24.6,29.7,20.5,16.9,17.0,
E14001183,,13.9,14.6,34.2,32.3,26.0,35.9,18.2,,,,,
E14001184,,,,,,,,,,,,,
E14001185,,,,,,,,,,,,,
E14001186,,,19.1,23.3,,,,,,,48.0,42.5,62.5
E14001187,,39.3,26.7,,,,63.3,46.1,46.6,,,,
E14001188,30.2,50.5,36.2,,,,,,,,,,
E14001189,,,,,,,,,,,,,
E14001190,16.8,17.9,18.0,13.0,10.8,8.0,3.4,,,,,,7.3
E14001191,,,,,,,,,,,,,
E14001192,20.3,,,,,,,,,,,,
E14001193,,,,,,,,,20.3,24.0,17.0,25.5,
E14001194,35.7,34.2,20.6,,,,,,,,,,
E14001195,,,,,,,,,,,,,
E14001196,,,,,,,,,,,,,
E14001197,,,,,,,,,,,,,
E14001198,45.2,37.0,20.9,21.5,16.0,17.4,,,,,,,
E14001199,,,24.9,,,,,20.3,15.5,15.1,21.3,,
E14001200,,,,,,,,,,,,,
E14001201,,,,,,,,,,,,,
E14001202,,,,,,,,,,,,,
E14001203,,,,,,,,,,,,,
E14001204,,,,,,,,,,,,,
E14001205,,,,,,,,,,,,,
E14001206,,,,,,,,,,,,,
E14001207,,,,,,,,,,,,,
E14001208,,,,,,,,,,,,,
E14001209,,,,,,,,,,,,,
E14001210,,,,,,,,,,,,,
E14001211,,,,,,,,,,,,,
E14001212,,,,,,,,,,,,,
E14001213,,,,,,,,,,,,,
E14001214,,,,,,,,,,,,,
E14001215,,,,,,,,,,,,,
E14001216,,42.3,,,39.9,,,,,,,,
E14001217,,,,,,,,,,,,,
E14001218,,,27.7,,,,,,,,,,
E14001219,,,,,,,,,,,,,
E14001220,41.0,,,,,,,,,,,,
E14001221,,,,,,,,,,,,,
E14001222,,,,,,,,,,,,,
E14001223,,,,,,,,,,,,,
E14001224,,,,,,,,,,,,,
E14001225,,,,,,,,,,,,,
E14001226,,,,,,,,,,,,,
E14001227,,,,,,,,,,,,,
E14001228,,,,,,,,,,,,,
E14001229,28.5,,,,,,,,,,,,
E14001230,21.2,38.4,38.8,,,,,,,,,,
E14001231,,,,,,,,,,,,,
E14001232,,,,,,,,,,,,,
E14001233,,,,,,,,,,,,,
E14001234,,,,,,,,,,,,,
E14001235,,,,,,,,,,,,,
E14001236,,,,,,53.9,,,,,,,
E14001237,,,,,,,,,,,,,
E14001238,,,,,,,,,,,,,
E14001239,,,,,,,,,,,,38.2,
E14001240,,,,,,,,,,,,,
E14001241,,,,,,,,,,,,,
E14001242,,,,,,,,,,,,,
E14001243,,,,,,,,,,,,,
E14001244,18.9,20.6,22.7,18.2,13.3,,,24.8,,,,,15.1
E14001245,34.9,37.7,26.5,30.6,,,,,,,,,
E14001246,,,,,,,,,,,35.9,,
E14001247,,,,,,,,,,,,,
E14001248,35.6,28.9,,,,,,,,,,,
E14001249,,,,,,,,,,,,,
E14001250,,,,,,,,,,,,,
E14001251,,,,,,,34.8,48.5,46.5,,,,
E14001252,,,,,,,,,,,,,
E14001253,,,,,,,,,,,,,61.0
E14001254,,,,,,,,,,,,,
E14001255,12.9,,,,,,,,,,,,20.9
E14001256,37.2,,,,,,,,,30.5,27.5,,
E14001257,,,33.7,42.9,37.7,45.3,,,,,,,
E14001258,,,,,,,,,,,,,
E14001259,,,,,,,,,,,,,
E14001260,,,,,,,,,,,,,
E14001261,,,,,,,,,,,,,
E14001262,,,,,,,,,,,,,
E14001263,,,,,,,,,,,,,
E14001264,,,,,,,,,,,,,
E14001265,,,,,,,,,,,,,
E14001266,,,,,,,15.7,16.8,19.5,21.2,,,
E14001267,,,25.0,,,,,,44.7,38.8,34.6,45.7,
E14001268,,,,,,,,,,,,,
E14001269,,,,,,,,,,,,,
E14001270,,,,81.2,35.5,27.7,42.7,,,,,,
E14001271,48.3,,,,29.2,29.3,26.2,,,,,,
E14001272,18.3,11.7,11.3,12.0,15.0,14.9,15.5,11.8,,,,,13.6
E14001273,32.5,63.0,58.9,,,,,,,,,,
E14001274,,,,,,,,,,,,,71.1
E14001275,,,,,,,,,,,,,
E14001276,64.0,,,34.1,36.2,22.2,,,,,,,
E14001277,20.1,,,25.2,,,,,,,44.8,,27.7
E14001278,,,,,,,,,,,,,
E14001279,,,75.6,62.0,63.0,26.3,28.7,,,,,,
E14001280,,,,,,,,,,,,,
E14001281,,,,,,,,,,,,,
E14001282,,,,,,,,,,,,,
E14001283,,36.8,,,,,,,,,,,
E14001284,,,,,,,,,,,,,
E14001285,,,,,,,,,,,,,
E14001286,11.9,11.9,,11.6,,,,,,,,,
E14001287,,,,,,,,,,,,,
E14001288,,,,,,,,,,,,,
E14001289,43.0,,,,,,,,,,,,
E14001290,,,,,,,,,,,,,
E14001291,,,,,,,,,,,,,
E14001292,,,,,,,,,,,,,
E14001293,,,,,,,,,,,,,
E14001294,,,,,,,,,,,,,
E14001295,18.8,17.4,,,,,,,,,,,
E14001296,25.1,17.0,20.7,26.2,15.5,21.5,,,,,,,63.4
E14001297,,,,,,,,,,,,22.4,20.4
E14001298,,,,,,,18.6,,,,,,
E14001299,,,,,,,,,,,,,
E14001300,,,,,39.3,,,,,,,,
E14001301,,,,,,,,,,,,,
E14001302,,,,,,,,,,,,,
E14001303,14.2,14.1,15.5,22.2,29.7,28.3,,,,,,,
E14001304,15.2,20.4,,21.9,20.9,,12.8,,15.4,22.4,,,
E14001305,31.9,47.0,40.7,30.7,,,,,,,,,
E14001306,,,,,,,,,35.2,31.8,,,
E14001307,19.3,17.5,,,,,,,19.0,13.2,16.4,16.3,12.1
E14001308,,,,,,,,,,,,,
E14001309,,,,,,,,,,,,,
E14001310,34.3,40.5,45.9,,,81.4,,,,,,33.2,
E14001311,,,,,,,,,,,,,
E14001312,,30.4,24.6,24.5,23.5,,,,,,,,
E14001313,28.9,34.7,,,,,,,,,,,
E14001314,,,,,,,29.4,31.9,26.7,25.4,,,
E14001315,,,,15.7,16.9,,,,,,,,
E14001316,,,,,,,,,,,,,
E14001317,21.3,19.5,17.4,16.1,,,,,,,,18.5,19.4
E14001318,,,,,,,,,,,,,
E14001319,,,,,,,,,,,,,
E14001320,,,,,,,,,,,,,
E14001321,,,,,,,,,,,,,
E14001322,,,,,,,,,,,,,
E14001323,,,,,,,,,,,,,
E14001324,,,,,,,,,,,,,
E14001325,,,,,,,,,,,,,
E14001326,,,,,,,17.1,14.4,30.0,39.2,,,
E14001327,31.3,26.3,17.2,,,,13.8,,,,,29.5,8.8
E14001328,30.3,35.8,30.7,,,,,,32.8,38.0,33.8,,
E14001329,,,,,27.5,26.5,25.0,47.1,,,,,
E14001330,19.7,22.3,21.6,,,,,,,,,,
E14001331,,,,,,,,,28.3,29.8,,,
E14001332,,,,,,,,,,,,,
E14001333,,,,,,,,,,,,,
E14001334,,,,,,,,,,,,,37.4
E14001335,32.6,32.1,,,,,,,,,,,
E14001336,24.8,24.8,,,,,,,,,,,
E14001337,25.0,23.5,,24.4,,,,,,,,,
E14001338,,31.6,,,,,,,,,,,
E14001339,,,,,,,,,,,,,
E14001340,,,,,,,,,,,,,
E14001341,,,,,,,,,,,,,
E14001342,,,,,,,,,,,,,
E14001343,,,,39.4,30.9,,,,,,,,
E14001344,40.2,40.2,,,,,,,,,,,
E14001345,14.4,16.4,,,,,,34.0,13.2,18.5,18.9,,
E14001346,12.2,12.4,17.2,17.2,16.2,12.7,,,,,,,
E14001347,,,,,,,,,,,,,
E14001348,26.5,19.0,15.7,21.3,8.9,,10.7,5.3,6.9,7.7,,,
E14001349,,,,,,,,,,,,,
E14001350,,,,,,,,,,,,,
E14001351,,39.5,,,,,,,,,,,
E14001352,,,,,,,,,,,,,
E14001353,,,,,,,,,,,,,
E14001354,,,,,,,,,,,,,
E14001355,,,,,,,,,,,,,
E14001356,,,,,,,,,,,,,
E14001357,,,,,,,,,,,,,
E14001358,,,,,,13.7,20.4,20.4,16.8,15.1,11.1,,
E14001359,,,,,,,,,,,,,
E14001360,,,,,,,,,,,,,
E14001361,,,,,,,,,,,,,
E14001362,,,,,,,,,,,,,
E14001363,,,,,,,,,,25.9,26.3,19.9,20.7
E14001364,,,,,,,,,,,,,
E14001365,27.0,22.6,,,,,,,,,,,
E14001366,,,,,,,,,,,,,
E14001367,25.8,22.4,20.2,10.9,11.1,,15.6,18.4,20.4,,,36.2,30.9
E14001368,16.9,15.4,24.8,23.9,18.7,18.1,,,,,,17.9,26.6
E14001369,15.9,18.7,,,,,,,,,,,
E14001370,15.9,11.1,,,,,,,,,,,
E14001371,,,,,,,,,,,,,
E14001372,,,,,,,,,,,,,
E14001373,,,,,,,,,,,,,
E14001374,,,33.7,38.0,45.8,,,,,,,,
E14001375,,,,,,,,,,,,,
E14001376,23.9,24.6,16.3,14.5,,,9.4,8.7,,,,,
E14001377,,,,,,,,,,,,,
E14001378,,13.6,15.2,12.8,,,,,,,14.4,14.8,20.1
E14001379,,,,,,,,31.9,34.2,,,,
E14001380,,,,,,,,,,,,,
E14001381,,,,,,,,,,,,,
E14001382,,,,,,,,,,,,,
E14001383,,,,15.7,15.7,,,,,17.0,,,
E14001384,,,,,,,,9.3,19.7,18.4,27.8,31.0,22.6
E14001385,35.5,24.8,,,,,,,,,,,
E14001386,,,,,,,,,,,,,
E14001387,,,,,,,,,,,,,
E14001388,,,,,,,,,,,,,
E14001389,,,,,,,,,,,,,
E14001390,,,,,,,,,,,,,
E14001391,,,,,,,,,,,,,
E14001392,,,,,,19.6,26.3,24.9,38.7,19.9,14.8,,
E14001393,,,,,,,,,,29.8,35.6,,
E14001394,,,15.1,,,,,,,,,,
E14001395,22.3,18.3,21.2,44.6,28.6,24.1,21.2,19.9,18.2,,,,
E14001396,,,,,,,,,,,,,
E14001397,42.1,39.7,23.6,,,,,,,,,,
E14001398,,,,,,,,,,,,,
E14001399,,,,,,,,12.4,9.3,11.8,14.9,,
E14001400,,,,,,,,,,,,,
E14001401,,,,,,,,,,,,,
E14001402,,,,,,,,,,,,,
E14001403,,,,,,,,,,,,,
E14001404,,,,,,,,,,,,,
E14001405,,,,,,,,,,,,,
E14001406,,38.9,25.6,35.7,44.4,,,,,,,,
E14001407,,,,,,,,,,,,,
E14001408,,,50.4,,,,,,,,,,
E14001409,,,,,,,,,,,,,
E14001410,,27.5,,,,,,,,,,,
E14001411,32.8,30.9,,,,,,,,,,,
E14001412,30.9,21.1,15.9,11.5,,,,,,,,,30.3
E14001413,,,,,,,,,,,,,
E14001414,,,,,,,,,,,,,
E14001415,26.2,14.6,12.7,,,,,,,,,,
E14001416,,,,,,,,,,,,,
E14001417,,,,,,,,,,,,,
E14001418,12.3,,,,,,,,,,,,
E14001419,,,,,,,,,,,,,
E14001420,,,,,,,,,,28.5,18.9,20.7,22.4
E14001421,,,,,,,,,,,,,
E14001422,,,,,,,,,,,,,
E14001423,,,,,,,,49.1,38.7,37.8,25.7,,
E14001424,,,,,,,,,,,,,
E14001425,16.3,,,,,,,,,32.6,,,
E14001426,,,,,,,,,,,,,
E14001427,13.0,21.0,,,,,,,,,,,
E14001428,,,28.1,24.3,24.6,24.9,,,,,,,
E14001429,11.1,16.9,16.5,16.7,18.1,,,,,,,,
E14001430,,,,,,,,,,,,,
E14001431,13.5,16.6,15.5,25.2,21.2,17.1,,,,,,,
E14001432,,13.3,,,,17.2,14.8,,,,,,
E14001433,,,,,,,,,,,,,
E14001434,,,,,,,,,,,,,
E14001435,,,,,,,,,,,,,
E14001436,,,,,,,,,,,,,
E14001437,,,,,,,,,,,,,
E14001438,,15.4,,,,,,,,,,,
E14001439,17.0,24.2,24.7,17.3,17.3,,,,,,,,
E14001440,10.9,19.1,,,,,8.2,8.2,15.5,12.3,,,25.4
E14001441,,,,,,,,,,,,,
E14001442,,,,,,,,,,,,,
E14001443,,,40.0,,,,,,,,,,
E14001444,,,,,,,,,,,,,
E14001445,,,,,,,,,,,,,
E14001446,30.3,20.3,12.9,22.6,11.5,14.2,,,,,,,
E14001447,,,,,,,,,,,22.9,21.5,18.1
E14001448,17.7,,,,,,,,,,,,
E14001449,,,,,,,,,,,,,
E14001450,,,,,,,,25.7,28.0,,,,
E14001451,17.9,23.5,25.1,19.8,18.3,,,,,,,,
E14001452,,,,,,,,,,,,,
E14001453,12.9,,,,,,,,,,,,
E14001454,,,,,,,,,,47.1,,,
E14001455,19.1,18.7,17.1,13.1,12.8,,,,,,,,31.6
E14001456,,,,,,,,,,,,,
E14001457,38.5,,,,,,,,,,,,
E14001458,,,46.6,37.2,,,,,,,,,16.0
E14001459,22.4,20.7,,,,,,,,,,,
E14001460,24.5,23.7,29.7,,,,,,,,,,
E14001461,,,28.7,,,22.9,,,,,,,
E14001462,29.2,21.1,,,,,,,,,,,11.3
E14001463,,,,,,,,,,,,,
E14001464,,,,,,,,,,,,,
E14001465,,,,,,,,,,,,,
E14001466,,,,35.7,,,,,,,,,
E14001467,,,,28.1,20.5,,,,,,,,
E14001468,,15.9,,,,,,,,,,,
E14001469,,,,,29.4,,,,,,,,
E14001470,,,,,,,,,,,,,
E14001471,,,,,,,,,,,,,
E14001472,,,,,,,,,,,,,
E14001473,,,,,,,,,,63.0,57.3,40.1,38.4
E14001474,,,34.3,,,,,,,,,,
E14001475,,,,,,,,,,,,,
E14001476,,,,,,,,,,,,,
E14001477,27.0,22.5,16.4,20.3,16.6,18.5,17.9,32.9,42.7,38.8,42.2,,
E14001478,,,,,,,,,,,,,
E14001479,18.8,15.5,18.5,,,,,,,,,,
E14001480,,,,31.1,22.6,25.9,34.5,50.8,28.1,33.9,33.8,,
E14001481,,,,23.9,22.0,26.5,29.5,,19.5,,,,
E14001482,,,,,,,,,,,,,
E14001483,,,,,,,,23.2,21.9,21.7,,,
E14001484,,,,,,,,,,,,,
E14001485,,,,,,,,,,,,,
E14001486,,,20.0,23.3,22.5,,,,,,,,
E14001487,,,,,,,,,,,,,
E14001488,42.9,42.9,47.9,51.3,61.5,45.2,,,,,,,
E14001489,,,,40.8,39.1,32.9,,,,,,,
E14001490,,,,,,,,,,,,,
E14001491,,,,,,,,,,,,,
E14001492,29.4,31.7,23.9,16.8,17.9,15.5,,,29.0,36.5,40.0,29.3,20.6
E14001493,,,,,,,,,,,,,
E14001494,,,,,,,,,,,,,
E14001495,16.7,25.0,39.6,32.0,,,,,,,,,
E14001496,,,,,,,,,,,,,
E14001497,,,,,,,,,,,,,
E14001498,,,,,,,,,,,,,
E14001499,,,,,,,,,,,,,
E14001500,,,,16.6,,,13.0,19.5,14.6,19.3,,,
E14001501,37.1,28.9,24.3,17.2,,,,,,,,,
E14001502,,10.5,10.2,,,,,,,,,,
E14001503,79.2,43.9,22.5,,,,,23.3,24.5,,,,
E14001504,,,,,,,,,,,,,
E14001505,,,,,,,,,,,,,
E14001506,,,,,,,,,,,,,
E14001507,,,,,,,,,,,,,
E14001508,,23.1,,21.3,,,,,,,,,
E14001509,,,,,,,19.8,21.4,16.7,,,,
E14001510,14.2,14.4,21.0,20.4,15.4,,,,,,,,
E14001511,,,,,,,,,,,,,
E14001512,,,,,,,,,,,,,
E14001513,,,,,,,,,,,,,
E14001514,,,,,,,,,,,,,
E14001515,,,,,,,,,,,,,
E14001516,23.1,,,,,,,,,,,,
E14001517,32.8,50.0,26.0,,21.7,,,23.0,,,42.2,52.0,59.1
E14001518,19.0,21.2,20.9,19.5,22.6,25.7,18.2,25.5,13.7,,,,
E14001519,21.2,16.5,16.4,,,,,,,,,,
E14001520,35.1,31.9,16.0,12.4,,,,,,,,,
E14001521,,,,,,,,,,,,,
E14001522,,,,,,,,,,,,,
E14001523,,,,,,,,,,,,,
E14001524,24.5,18.2,,,,,,,,,,,
E14001525,,,,,,,,,,,,,
E14001526,,25.9,21.5,,,,,,,,,,
E14001527,70.2,56.0,42.7,31.7,,,,,,,,,
E14001528,,,,,,,,,,,,,
E14001529,,,,16.9,17.9,18.8,12.4,,,,,,
E14001530,,,,,,,,,,,,,
E14001531,,,,,,,,,,,,,
E14001532,,,,,,,,,,,,,
E14001533,23.8,15.5,20.9,,,15.7,23.1,,,,,,
E14001534,19.9,,,,,,,,,,,,
E14001535,,,,,,,,,,,,,
E14001536,,,13.8,14.8,16.0,19.7,17.2,25.9,29.6,38.2,21.3,24.5,
E14001537,15.7,12.3,22.4,14.5,,8.8,,,,,,,
E14001538,,,,,,,,,,,,,
E14001539,,,,,,,,,,,,,
E14001540,,,,,,,,,,,,,
E14001541,23.9,15.9,12.0,,,,,,,,,,
E14001542,58.5,36.8,,,,,,,,,,,
E14001543,26.7,26.6,21.0,16.9,19.9,,,,,,,,
E14001544,,,,,,,,,,,,,
E14001545,,,,,,,,,,,,,
E14001546,22.5,18.3,30.1,27.4,20.3,24.4,16.8,,16.3,25.0,17.7,18.6,7.7
E14001547,,,,,,,,,,,,,
E14001548,,,,,,,,,,,,,
E14001549,,,,,,,,,,,,,
E14001550,,,,,,,,,,,,,
E14001551,,,6.9,5.5,,,,,,,,,
E14001552,,,,,,,,,,,,,
E14001553,,,,,,,,,,,,,
E14001554,,,,,,,,,,,,,
E14001555,,,,,,,,,,,,,
E14001556,,25.4,22.3,33.4,,,,,,,,,
E14001557,29.6,35.0,31.1,26.6,18.9,14.6,22.9,20.5,23.4,24.1,,,
E14001558,,,,,24.0,24.2,,,,,56.4,45.5,45.6
E14001559,32.5,18.3,,,,,,,,,,,
E14001560,,,38.8,,,,,,,,,,
E14001561,,,,,,,,,,,,,
E14001562,,,,,,,,,,,,,
E14001563,,,,,,,34.6,45.1,49.7,77.9,,,
E14001564,,,,,,,,,,,,,
E14001565,14.3,24.3,26.4,22.4,,,,,,,,,
E14001566,,,,11.1,13.7,15.7,13.6,,,,,,
E14001567,26.8,24.3,23.9,13.3,13.1,,,,,,26.3,21.0,21.8
E14001568,,,32.3,41.6,,,,,,,,,
E14001569,,,,,,,,,,,,,
E14001570,,,,,,,,,,,,,
E14001571,,,,,,,,,,,,,
E14001572,,,,,,,,,,,,,
E14001573,,16.4,,,,,,,,,,,
E14001574,,,,,35.9,29.6,39.1,36.8,,,,,
E14001575,,,24.2,27.7,,,,,,,,,
E14001576,,,,,,,,,,,,,
E14001577,,,,,,,,,,,,,
E14001578,,,,,,,,,,,,,
E14001579,,,13.2,16.6,15.9,,,,,,,,
E14001580,,,,,,,,,,,,,
E14001581,,,,,,,,,18.8,18.4,18.2,21.4,
E14001582,,,,,,,,,,,,,
E14001583,,,,,,,,,25.7,28.0,22.6,,
E14001584,,,,,,,,,,,,,
E14001585,,,,,,,,22.8,17.3,,,,
E14001586,,16.9,,18.8,25.7,20.5,,,,45.9,44.9,49.8,43.8
E14001587,,,,,,,,,,,,,
E14001588,26.6,21.6,28.5,26.7,17.2,16.4,,11.6,,,,,
E14001589,,,,,,,,32.6,45.4,,,,
E14001590,,,,,,,,,,,,,
E14001591,,,,,,,,,,,,,
E14001592,,,,,,,,,,,,,
E14001593,11.6,22.1,18.6,13.2,11.1,,,,,,,,
E14001594,,,,,,,,,,,,,
E14001595,,,,,,,20.1,31.4,38.2,42.7,,,
E14001596,,,,,,,,,,,,,
E14001597,,,,,,,,,,,,,
E14001598,,,,,,,41.7,48.3,31.1,32.6,,,
E14001599,,,,,,,,,,,,,
E14001600,40.0,,25.5,,,43.6,,,,,,,
E14001601,,,,,,,,,,,,,
E14001602,,21.9,33.0,32.2,40.9,27.2,,,,,,,
E14001603,,,,,,,,,,,,,
E14001604,,,,,,,,,,,,,
E14001605,,,,,,,,,,,15.7,15.1,
