ONS_CODE,Economically Inactive - Student,Economically Inactive - Aged 16+,Economically Inactive - Aged 16-19,Economically Inactive - Aged 16-24,Economically Inactive - Aged 16-64,Economically Inactive - Aged 20-24,Economic Activity Rate - Aged 16-19,Economic Activity Rate - Aged 16-64,Economic Activity Rate - Aged 20-24,Unemployment Rate - Aged 16+,Unemployment Rate - Aged 16-19,Unemployment Rate - Aged 16-24,Unemployment Rate - Aged 16-64,Unemployment Rate - Aged 20-24,Suffix
E14000774,11.0,33.8,48.0,30.3,17.2,22.9,52.0,82.8,77.1,2.3,,,2.4,,%
E14000775,19.4,37.8,39.0,30.7,21.9,21.4,61.0,78.1,82.2,6.4,33.9,18.2,6.5,17.5,%
E14000776,44.0,43.7,75.7,50.3,26.7,47.7,60.2,73.3,74.0,10.0,,,10.1,,%
E14000777,26.5,39.3,78.7,57.9,34.1,54.4,43.1,65.9,45.6,8.4,,,8.4,,%
E14000778,35.0,46.3,95.4,97.0,39.4,84.9,29.1,60.6,40.8,7.0,,,7.4,,%
E14000779,29.5,34.3,54.1,28.5,16.3,30.2,45.9,83.7,74.9,3.6,,,3.8,,%
E14000780,57.5,38.1,88.4,45.5,20.9,53.1,56.0,79.1,100.0,9.3,,,9.6,,%
E14000781,31.0,29.5,67.9,32.3,18.4,44.1,,81.6,100.0,5.2,,,5.3,,%
E14000782,22.5,41.2,77.6,40.6,29.2,20.0,19.6,70.8,82.6,12.8,,39.2,13.2,37.9,%
E14000783,32.3,35.4,76.1,32.2,25.9,21.7,23.9,74.1,100.0,6.9,65.2,10.3,7.0,,%
E14000784,29.2,28.6,48.4,47.3,21.5,52.9,51.6,78.5,54.6,3.4,,41.2,3.6,36.3,%
E14000785,14.1,41.1,50.9,85.1,25.9,34.3,49.1,74.1,79.3,5.8,,23.3,6.1,,%
E14000786,35.3,40.8,60.8,46.8,23.0,,48.7,77.0,71.9,9.8,,26.1,10.5,23.5,%
E14000787,34.9,31.5,68.9,58.7,20.3,66.2,62.5,79.7,33.8,5.5,,41.9,5.6,,%
E14000788,34.6,24.7,100.0,72.4,15.5,,46.7,84.5,100.0,3.4,100.0,54.9,3.6,,%
E14000789,58.4,31.5,100.0,72.3,26.7,53.4,48.6,73.3,65.3,6.0,,,6.2,,%
E14000790,46.1,35.4,100.0,59.4,30.7,34.6,,69.3,65.4,6.1,,,6.4,,%
E14000791,54.6,33.7,43.5,36.6,14.9,58.4,56.5,85.1,77.8,5.8,77.7,32.1,6.1,,%
E14000792,30.6,38.9,82.5,44.0,25.1,30.3,63.9,74.9,51.4,4.4,,24.8,4.6,,%
E14000793,55.4,38.5,53.5,64.5,31.3,72.0,46.5,68.7,59.2,12.7,,25.2,12.9,,%
E14000794,25.7,38.5,54.1,50.3,27.8,48.8,45.9,72.2,51.2,6.9,,,7.0,,%
E14000795,23.8,41.9,71.2,57.4,21.7,32.4,,78.3,100.0,7.9,,,8.6,,%
E14000796,37.4,31.5,46.8,54.3,23.3,59.3,53.2,76.7,40.7,8.4,,,8.5,,%
E14000797,45.3,32.5,81.6,46.0,23.3,35.2,51.1,76.7,64.8,4.2,,,4.3,,%
E14000798,26.5,48.6,54.0,46.5,18.8,32.9,46.0,81.2,100.0,6.9,,28.4,7.6,,%
E14000799,23.6,44.7,35.1,18.7,20.8,,76.4,79.2,100.0,5.0,,,5.3,,%
E14000800,22.0,36.6,78.0,41.8,29.4,25.1,22.0,70.6,74.9,4.4,,19.5,4.5,,%
E14000801,37.2,35.3,84.4,46.2,23.4,23.1,51.3,76.6,76.9,6.7,38.3,12.5,7.0,12.1,%
E14000802,37.9,43.5,57.1,30.3,10.7,34.6,72.4,89.3,100.0,6.6,,,6.8,,%
E14000803,34.5,31.7,57.5,35.9,14.0,18.4,42.5,86.0,81.6,3.7,,7.5,3.6,16.7,%
E14000804,32.1,36.4,70.9,52.8,23.9,,57.7,76.1,69.7,7.5,,,7.5,,%
E14000805,28.0,45.6,49.3,57.9,32.4,,50.7,67.6,100.0,,,,,,%
E14000806,18.6,33.7,63.8,49.3,7.7,,85.0,92.3,100.0,3.7,,39.5,3.8,,%
E14000807,21.4,32.7,100.0,55.4,30.3,53.6,52.3,69.7,46.4,11.8,,31.3,12.4,,%
E14000808,34.4,37.7,85.4,59.7,36.5,44.6,51.9,63.5,100.0,5.0,,42.6,5.1,,%
E14000809,60.8,32.5,46.4,69.0,27.4,75.2,62.4,72.6,24.8,3.5,,,3.6,,%
E14000810,20.2,46.8,40.8,32.0,28.4,56.6,60.7,71.6,100.0,4.7,,,4.9,,%
E14000811,30.6,47.3,59.8,52.5,24.9,,69.8,75.1,63.4,5.9,38.7,15.1,6.7,,%
E14000812,33.9,38.0,77.7,69.4,20.7,56.6,22.3,79.3,43.4,2.0,,13.8,2.1,,%
E14000813,9.6,36.1,70.5,29.7,19.9,65.7,69.3,80.1,79.0,1.9,,,2.8,,%
E14000814,15.9,39.2,72.8,58.2,11.6,60.7,46.5,88.4,93.9,5.2,,,5.3,,%
E14000815,9.2,38.3,35.5,19.5,12.4,10.7,64.5,87.6,90.3,4.1,,22.1,4.4,,%
E14000816,14.5,49.5,50.0,35.4,32.8,42.5,50.0,67.2,100.0,4.4,,20.7,4.5,35.0,%
E14000817,14.7,37.5,62.2,31.6,20.9,,,79.1,100.0,4.4,,,4.6,,%
E14000818,29.5,45.3,51.6,54.0,25.1,,23.4,74.9,65.5,5.6,,,6.0,,%
E14000819,35.1,40.8,56.0,59.2,32.6,61.0,44.0,67.4,39.0,8.5,41.9,23.0,8.7,,%
E14000820,19.7,42.2,59.9,42.5,22.2,20.8,40.1,77.8,86.2,6.1,46.5,26.6,6.3,21.6,%
E14000821,40.6,36.3,58.5,54.4,21.0,51.3,41.5,79.0,48.7,2.3,,9.2,2.1,,%
E14000822,31.0,34.2,52.5,26.3,22.2,24.9,47.5,77.8,92.4,3.6,37.8,11.9,3.4,36.9,%
E14000823,25.1,20.0,100.0,29.1,12.0,56.5,25.8,88.0,100.0,3.1,,,3.2,,%
E14000824,20.6,36.3,64.4,52.5,12.5,70.4,52.4,87.5,100.0,2.1,,,2.1,,%
E14000825,20.7,38.6,50.2,16.1,15.6,,68.1,84.4,100.0,4.2,,,4.5,,%
E14000826,26.7,29.6,44.9,30.8,14.5,,74.5,85.5,100.0,5.6,,,5.6,,%
E14000827,46.5,35.7,61.8,30.9,20.0,42.3,38.2,80.0,88.1,1.6,,,3.2,,%
E14000828,27.5,35.4,49.2,38.0,10.7,,77.2,89.3,100.0,4.6,,45.8,5.0,,%
E14000829,18.6,43.1,41.8,38.2,19.4,27.8,89.6,80.6,100.0,6.3,,,6.9,,%
E14000830,19.7,31.0,45.2,25.5,13.8,20.9,54.8,86.2,100.0,3.1,,8.7,2.8,15.2,%
E14000831,38.6,45.6,62.0,53.2,37.7,50.2,35.7,62.3,49.8,7.1,,,7.3,,%
E14000832,51.9,41.4,70.1,50.9,29.9,45.1,46.3,70.1,54.9,4.8,,15.8,4.6,,%
E14000833,11.0,35.2,45.8,16.7,15.3,13.8,100.0,84.7,88.0,4.3,,,4.3,,%
E14000834,51.3,29.3,82.6,45.8,10.5,,36.8,100.0,100.0,4.1,,,4.2,,%
E14000835,42.3,31.2,66.7,35.6,17.8,,33.3,82.2,100.0,3.6,,,3.7,,%
E14000836,20.4,33.9,35.2,22.8,16.7,,64.8,83.3,85.1,2.7,,20.6,2.7,21.2,%
E14000837,22.4,54.5,66.8,65.7,31.7,25.9,100.0,68.3,100.0,3.3,,24.8,3.6,,%
E14000838,29.6,45.1,40.6,73.8,25.3,,64.9,74.7,58.0,,,,,,%
E14000839,24.1,41.7,73.8,38.1,17.8,26.2,30.8,82.2,87.5,2.1,,,2.3,,%
E14000840,14.0,40.6,81.0,32.5,26.7,38.8,43.7,73.3,74.4,4.3,,,3.8,,%
E14000841,23.2,31.3,20.3,12.3,11.4,22.0,79.7,88.6,95.8,5.1,31.0,20.8,5.3,,%
E14000842,39.2,40.7,82.9,53.7,23.0,62.4,79.7,77.0,64.9,4.9,,,4.5,,%
E14000843,35.0,52.0,100.0,50.0,33.0,44.0,67.0,67.0,100.0,2.8,,,3.0,,%
E14000844,44.8,30.6,51.4,21.8,14.3,16.7,48.6,85.7,100.0,5.1,44.8,13.8,5.3,,%
E14000845,25.2,30.8,61.6,17.1,15.4,,100.0,84.6,100.0,6.0,,35.6,6.2,,%
E14000846,41.1,39.5,62.9,53.2,18.7,37.5,37.1,81.3,70.0,2.4,,11.3,2.5,,%
E14000847,21.3,42.3,37.9,28.1,16.4,,62.1,83.6,80.2,1.1,49.0,18.2,1.2,27.6,%
E14000848,30.9,42.1,37.2,68.3,21.6,,68.3,78.4,76.1,3.9,,,4.0,,%
E14000849,22.8,33.9,32.5,23.1,15.0,55.1,67.5,85.0,100.0,3.6,,,3.9,,%
E14000850,26.5,43.2,64.7,32.8,16.1,16.1,35.3,83.9,83.9,2.3,,14.4,2.5,,%
E14000851,6.9,36.3,40.5,18.1,19.3,26.7,59.5,80.7,100.0,3.1,25.7,20.6,3.2,34.7,%
E14000852,26.5,34.9,67.7,28.8,18.5,20.7,70.3,81.5,72.5,5.3,,,5.4,,%
E14000853,12.9,41.7,55.4,32.1,27.3,24.5,44.6,72.7,75.5,9.6,45.0,41.9,10.1,40.8,%
E14000854,9.7,47.1,48.2,43.2,25.3,,75.4,74.7,59.8,2.5,,,2.5,,%
E14000855,23.5,36.7,70.5,61.7,22.6,29.1,29.5,77.4,73.2,1.2,35.1,15.0,1.3,,%
E14000856,26.8,41.3,58.8,34.2,20.6,,73.7,79.4,100.0,3.6,,,3.8,,%
E14000857,32.5,27.6,61.7,43.2,13.5,64.4,38.3,86.5,100.0,3.0,,,3.1,,%
E14000858,29.2,37.1,56.8,29.2,16.1,47.9,100.0,83.9,75.3,3.3,,,3.4,,%
E14000859,22.6,53.7,59.9,52.3,26.8,,60.0,73.2,100.0,6.9,,,6.4,,%
E14000860,27.1,42.8,42.9,46.0,26.5,,57.1,73.5,81.8,5.3,,,4.8,,%
E14000861,25.2,35.0,86.0,53.2,23.7,59.7,42.6,76.3,64.9,9.3,,44.4,9.6,,%
E14000862,45.8,34.3,70.1,33.8,21.4,,29.9,78.6,100.0,3.4,,27.4,2.9,,%
E14000863,22.1,31.7,43.7,31.5,19.3,,41.4,80.7,100.0,4.8,100.0,50.4,5.0,,%
E14000864,24.2,34.4,72.6,56.8,15.7,50.6,,84.3,49.4,8.0,,,8.3,,%
E14000865,45.3,38.7,64.2,58.9,31.1,55.0,35.8,68.9,45.0,4.3,,,4.4,,%
E14000866,17.0,43.9,52.1,72.4,33.3,80.7,47.9,66.7,19.3,9.3,,11.7,9.3,29.7,%
E14000867,64.2,40.5,80.4,70.1,27.8,64.0,62.2,72.2,36.0,6.0,45.0,9.7,6.5,17.3,%
E14000868,14.6,34.0,39.3,29.1,18.0,35.6,60.7,82.0,76.3,4.1,,,4.2,,%
E14000869,33.2,33.4,47.9,32.9,19.1,15.8,52.1,80.9,82.3,8.5,,,8.9,,%
E14000870,16.4,34.2,25.7,11.5,14.5,25.3,74.3,85.5,100.0,2.8,40.6,12.7,2.8,,%
E14000871,27.7,38.5,53.4,50.9,25.4,48.5,46.6,74.6,51.5,2.9,,,2.9,,%
E14000872,47.4,36.5,100.0,61.0,15.6,,,84.4,100.0,2.9,,,3.1,,%
E14000873,71.6,30.8,100.0,72.8,21.6,59.6,22.7,78.4,48.9,5.3,,,3.7,,%
E14000874,100.0,20.0,23.7,23.0,3.4,30.7,94.7,96.6,100.0,7.9,37.5,23.0,8.3,,%
E14000875,47.0,53.6,92.4,62.9,44.0,45.9,45.2,56.0,65.2,17.2,,,14.6,,%
E14000876,21.3,36.0,80.2,26.5,18.5,,38.7,81.5,100.0,6.3,,25.7,6.4,,%
E14000877,,37.1,,,7.9,,84.4,92.1,100.0,3.9,,,4.3,,%
E14000878,24.7,40.3,45.6,48.1,23.4,49.0,54.4,76.6,51.0,7.3,,32.6,7.6,,%
E14000879,16.3,38.8,49.1,24.9,19.5,,50.9,80.5,92.8,3.9,,,4.0,,%
E14000880,22.2,38.6,51.0,43.9,29.4,38.2,49.0,70.6,61.8,3.9,,19.7,4.0,,%
E14000881,31.2,39.6,51.2,35.9,18.5,22.0,48.8,81.5,80.4,1.4,,15.3,1.5,17.8,%
E14000882,25.2,30.4,54.0,42.7,22.1,30.3,,77.9,67.4,11.5,,46.0,11.7,15.1,%
E14000883,18.9,36.1,46.7,29.3,16.4,17.0,53.3,83.6,100.0,5.6,54.4,17.1,5.5,,%
E14000884,36.3,31.2,44.7,39.8,16.8,32.5,55.3,83.2,64.8,4.4,66.2,14.8,3.6,17.3,%
E14000885,27.2,28.5,55.8,35.7,18.4,33.3,,81.6,100.0,4.5,,,4.7,,%
E14000886,22.7,30.1,35.3,26.8,17.3,,64.7,82.7,81.5,3.0,,,3.0,,%
E14000887,60.4,26.7,100.0,57.4,21.3,25.4,34.4,78.7,76.1,4.4,,,4.4,,%
E14000888,46.7,39.7,57.8,49.5,19.2,34.3,75.6,80.8,61.4,2.7,,,2.9,,%
E14000889,17.3,23.5,72.8,26.8,11.6,16.1,49.2,88.4,83.9,4.0,,,3.9,,%
E14000890,20.8,21.9,60.1,19.9,9.2,22.4,76.8,90.8,87.9,3.4,40.7,16.4,3.5,18.5,%
E14000891,14.4,46.2,62.3,42.5,27.5,29.0,37.7,72.5,71.0,7.7,,25.4,8.0,,%
E14000892,35.6,26.5,83.6,33.3,12.7,,32.8,87.3,85.4,5.5,,,5.8,,%
E14000893,29.5,27.9,44.4,35.4,8.1,48.5,66.4,91.9,100.0,,,,,,%
E14000894,15.5,36.6,50.2,19.8,20.4,,100.0,79.6,100.0,2.7,,,2.9,,%
E14000895,13.0,38.3,53.1,33.5,20.5,39.5,46.9,79.5,64.4,7.8,,,7.7,,%
E14000896,46.1,31.5,89.2,62.2,20.1,25.2,39.6,79.9,61.7,5.2,,,5.4,,%
E14000897,24.6,35.1,69.8,36.6,20.6,36.7,10.6,79.4,80.3,5.1,35.2,12.7,5.3,24.9,%
E14000898,38.5,28.4,78.9,30.4,14.7,30.2,22.2,85.3,92.3,4.5,,18.1,4.4,,%
E14000899,22.9,35.4,53.7,31.9,14.5,17.5,46.3,85.5,82.5,2.2,35.9,18.6,1.6,,%
E14000900,26.9,31.0,88.3,57.6,19.1,,37.8,80.9,86.2,3.2,,17.7,3.3,,%
E14000901,33.6,40.9,63.6,38.8,11.6,22.9,36.4,88.4,83.3,3.8,,,3.9,,%
E14000902,21.8,43.2,80.1,54.9,29.3,40.6,19.9,70.7,67.5,2.0,,28.0,2.0,,%
E14000903,23.2,39.5,71.5,47.6,22.4,31.1,28.5,77.6,69.8,3.3,67.6,18.3,3.5,,%
E14000904,22.3,50.9,100.0,29.8,36.4,37.2,60.5,63.6,100.0,7.8,,,7.9,,%
E14000905,43.0,33.0,80.2,61.6,17.5,26.8,36.0,82.5,100.0,3.0,,12.9,3.2,,%
E14000906,53.2,26.3,72.9,36.2,10.5,,23.3,89.5,73.0,9.8,,,10.2,,%
E14000907,30.5,34.0,100.0,100.0,18.4,100.0,47.1,81.6,56.8,4.4,,,3.9,,%
E14000908,28.4,35.5,53.4,31.8,18.9,42.6,46.6,81.1,82.9,2.6,,38.5,2.7,46.4,%
E14000909,30.1,43.3,66.7,30.4,23.7,18.3,33.3,76.3,92.6,5.1,,10.2,5.1,28.2,%
E14000910,29.6,29.9,84.0,31.1,18.7,,35.0,81.3,100.0,9.1,,,9.5,,%
E14000911,21.8,29.3,67.4,19.8,17.1,23.7,43.6,82.9,89.7,5.6,,21.8,5.7,,%
E14000912,16.0,36.1,50.9,35.8,21.7,,49.1,78.3,67.0,3.8,,29.7,4.1,30.7,%
E14000913,22.2,43.9,58.5,38.9,23.5,48.3,40.6,76.5,77.3,3.9,,22.9,4.3,,%
E14000914,36.1,38.7,56.8,46.8,23.2,,43.2,76.8,75.0,3.2,,13.2,3.2,38.1,%
E14000915,27.3,40.5,100.0,37.3,27.0,20.0,68.4,73.0,84.0,3.0,,,3.1,,%
E14000916,42.8,48.2,51.1,43.6,18.0,22.0,48.9,82.0,72.4,2.6,,,2.6,,%
E14000917,34.3,42.1,64.8,47.4,19.7,,35.2,80.3,100.0,3.7,,,3.8,,%
E14000918,42.4,50.1,87.3,73.5,27.9,40.6,,72.1,100.0,5.3,,,5.3,,%
E14000919,40.9,33.1,30.4,49.7,22.1,17.2,79.4,77.9,64.1,7.8,85.0,27.9,8.0,,%
E14000920,21.1,47.0,92.5,44.3,33.4,,37.5,66.6,100.0,5.3,,,5.4,,%
E14000921,40.8,39.0,64.0,50.4,31.4,43.2,33.9,68.6,56.8,2.9,,35.7,3.0,,%
E14000922,36.9,36.1,64.7,63.7,22.0,,35.3,78.0,100.0,4.0,,,4.2,,%
E14000923,17.6,33.9,46.2,32.0,23.8,,53.8,76.2,78.8,3.8,,,4.0,,%
E14000924,19.2,26.0,43.5,17.8,19.5,,56.5,80.5,100.0,3.4,,,3.6,,%
E14000925,14.7,47.2,68.9,70.2,25.4,,34.2,74.6,72.7,8.2,,,8.6,,%
E14000926,36.5,31.2,40.0,27.4,14.2,,60.0,85.8,100.0,5.2,28.1,25.3,4.8,,%
E14000927,29.5,28.5,57.4,35.9,8.9,,95.0,91.1,100.0,4.9,,32.3,5.3,,%
E14000928,39.3,40.5,100.0,37.8,21.6,31.5,64.3,78.4,91.1,,,,,,%
E14000929,24.5,39.3,82.3,59.8,15.8,31.1,43.9,84.2,100.0,3.4,,,3.5,,%
E14000930,38.1,29.7,59.8,46.8,19.0,37.8,40.2,81.0,62.2,7.0,56.3,42.2,7.1,14.7,%
E14000931,25.6,40.7,50.8,30.4,18.5,32.1,49.2,81.5,82.3,3.6,45.1,19.7,3.4,,%
E14000932,43.5,38.8,60.2,43.2,18.0,,39.8,82.0,78.8,2.6,,,3.3,,%
E14000933,31.0,34.5,19.7,49.7,18.4,22.5,80.3,81.6,33.3,9.8,,26.5,10.1,20.6,%
E14000934,53.8,31.8,70.2,58.1,16.9,41.8,29.8,83.1,74.1,6.5,27.3,25.8,6.9,,%
E14000935,36.3,34.0,60.0,36.7,18.3,22.5,40.0,81.7,79.2,5.5,,18.3,5.8,,%
E14000936,10.8,39.4,37.2,18.9,21.6,63.2,62.8,78.4,100.0,2.3,,,3.2,,%
E14000937,45.7,34.2,57.8,38.8,17.4,31.8,42.2,82.6,79.9,2.5,,44.3,2.6,,%
E14000938,12.4,43.0,50.0,21.7,25.7,,82.1,74.3,76.6,3.8,62.4,22.5,4.2,,%
E14000939,43.8,40.1,77.8,42.1,19.6,,79.1,80.4,100.0,6.5,,,6.9,,%
E14000940,42.3,24.7,43.1,28.3,10.3,,56.9,89.7,88.5,3.9,,37.9,3.5,58.1,%
E14000941,38.2,40.1,39.4,26.4,18.5,47.2,60.6,81.5,80.7,4.1,,,4.4,,%
E14000942,18.5,31.2,28.2,16.2,12.4,,71.8,87.6,92.1,5.4,,17.1,5.6,,%
E14000943,25.4,34.9,67.0,32.9,17.9,,100.0,82.1,83.9,5.6,,39.5,5.9,46.9,%
E14000944,20.5,48.5,46.1,42.8,32.6,39.9,53.9,67.4,60.1,6.8,35.2,18.3,7.0,27.7,%
E14000945,33.8,37.3,32.5,19.2,17.7,43.3,80.8,82.3,100.0,3.5,,,3.7,,%
E14000946,21.1,43.4,70.9,41.8,23.2,,40.6,76.8,100.0,5.4,,,5.9,,%
E14000947,32.5,30.0,33.8,26.2,13.3,26.1,66.2,86.7,79.3,4.2,25.5,9.2,4.3,,%
E14000948,28.9,59.4,55.9,67.8,33.9,51.8,,66.1,63.7,12.7,,65.2,12.0,60.9,%
E14000949,27.8,29.3,59.6,32.4,12.7,27.7,55.1,87.3,100.0,3.3,,,3.5,,%
E14000950,23.9,47.0,48.0,56.2,20.0,,52.0,80.0,74.5,3.1,66.4,46.0,3.3,,%
E14000951,20.6,41.1,76.3,47.9,24.8,36.1,24.2,75.2,86.9,4.3,,,4.6,,%
E14000952,61.7,27.7,100.0,59.5,9.5,,29.2,90.5,100.0,5.0,,,5.3,,%
E14000953,27.8,31.4,61.6,45.1,22.3,68.3,46.7,77.7,100.0,2.4,,,2.6,,%
E14000954,27.0,37.8,73.9,32.9,16.3,,72.8,83.7,100.0,2.1,,,2.3,,%
E14000955,14.8,38.4,82.1,35.0,19.8,20.7,54.7,80.2,79.3,5.1,,,4.8,,%
E14000956,29.1,32.9,41.5,38.6,23.0,36.6,58.5,77.0,63.4,3.3,42.4,19.3,3.3,,%
E14000957,29.0,39.7,79.4,49.2,24.1,39.2,20.6,75.9,60.8,4.8,,10.2,4.5,,%
E14000958,28.3,38.0,60.8,38.4,15.1,,53.9,84.9,70.5,3.3,,,3.6,,%
E14000959,40.9,36.1,67.2,42.7,21.0,37.1,32.8,79.0,68.8,3.2,,,3.3,,%
E14000960,26.3,27.7,48.6,42.1,15.4,37.7,68.3,84.6,62.3,1.3,,,2.4,,%
E14000961,12.2,38.6,31.1,31.1,18.9,29.6,76.6,81.1,100.0,2.9,,21.3,3.1,,%
E14000962,21.5,43.7,44.5,40.2,18.5,50.6,86.7,81.5,42.1,2.7,,16.7,3.7,,%
E14000963,11.0,42.7,53.3,35.9,30.7,31.1,46.7,69.3,77.8,4.5,51.4,19.2,4.6,,%
E14000964,27.3,43.4,54.5,30.1,22.2,,55.8,77.8,79.9,7.0,,,7.3,,%
E14000965,31.7,36.3,100.0,65.1,15.0,,,85.0,75.8,4.1,,,4.3,,%
E14000966,25.2,40.5,57.9,36.7,23.3,,42.1,76.7,100.0,5.1,,,5.6,,%
E14000967,19.3,41.6,57.4,49.8,19.8,26.9,40.5,80.2,100.0,3.2,,,2.5,,%
E14000968,23.2,28.9,53.9,75.0,15.3,,50.8,84.7,82.1,3.6,,23.1,3.8,27.0,%
E14000969,8.0,37.3,26.5,32.5,23.8,26.2,73.5,76.2,73.6,11.3,69.5,65.5,11.0,35.1,%
E14000970,23.9,45.2,84.8,57.2,31.3,34.0,41.7,68.7,66.0,5.9,40.8,16.3,5.9,31.3,%
E14000971,25.9,41.5,59.0,39.1,23.1,35.7,41.0,76.9,81.8,3.6,26.8,10.7,3.7,20.0,%
E14000972,32.7,40.9,65.9,39.2,25.8,74.5,34.1,74.2,84.0,4.9,62.3,24.9,5.1,,%
E14000973,20.8,33.8,75.6,39.0,13.7,,53.1,86.3,100.0,6.2,49.2,19.9,6.4,,%
E14000974,11.6,45.1,31.1,20.5,21.8,16.5,68.9,78.2,100.0,2.2,,,3.1,,%
E14000975,34.9,35.4,41.1,47.3,20.9,49.1,53.7,79.1,100.0,5.7,,,8.3,,%
E14000976,23.7,38.3,40.1,21.3,19.4,,59.9,80.6,90.0,5.6,68.5,14.7,5.7,,%
E14000977,35.4,32.9,58.3,25.0,12.9,41.4,41.7,87.1,90.3,4.7,37.4,19.5,5.0,,%
E14000978,33.2,32.5,100.0,64.7,22.3,54.7,52.6,77.7,80.4,5.4,,,5.8,,%
E14000979,41.1,28.0,63.9,34.0,15.6,44.1,36.1,84.4,93.5,4.1,,,4.1,,%
E14000980,31.0,29.2,50.6,26.5,10.1,18.6,64.5,89.9,100.0,1.7,,11.2,1.8,,%
E14000981,18.5,48.1,36.8,44.9,22.3,53.3,100.0,77.7,66.7,4.4,,,4.7,,%
E14000982,8.9,44.9,100.0,25.8,29.5,42.3,23.2,70.5,90.6,2.0,,,5.0,,%
E14000983,22.8,31.2,45.5,31.2,14.5,40.0,93.3,85.5,100.0,3.4,,,6.2,,%
E14000984,54.8,30.6,66.4,64.0,15.1,38.0,21.1,84.9,100.0,13.0,,19.9,13.2,,%
E14000985,25.2,36.1,79.3,49.3,19.5,38.9,52.9,80.5,100.0,2.2,,,2.3,,%
E14000986,22.6,35.6,61.9,35.7,19.0,32.7,58.2,81.0,79.0,,,,,,%
E14000987,40.8,41.4,53.1,60.1,23.8,66.6,46.9,76.2,52.6,5.6,,,5.4,,%
E14000988,32.5,31.9,77.1,53.9,16.1,,30.6,83.9,65.7,2.2,,,2.9,,%
E14000989,25.8,37.2,57.7,41.0,24.1,19.0,42.3,75.9,85.4,4.5,35.5,12.0,4.4,,%
E14000990,28.6,42.3,100.0,45.7,21.5,23.7,47.9,78.5,73.5,6.0,,30.0,6.4,,%
E14000991,28.2,38.2,59.5,29.2,20.0,29.9,74.0,80.0,86.7,1.9,,,2.8,,%
E14000992,10.7,44.8,47.8,14.5,21.1,24.8,59.3,78.9,100.0,3.0,,19.9,3.1,,%
E14000993,30.8,41.0,54.5,29.7,16.3,28.6,45.5,83.7,84.3,2.5,,,2.7,,%
E14000994,24.7,35.3,84.7,43.3,12.0,26.9,76.2,88.0,100.0,2.0,,,2.0,,%
E14000995,21.3,32.6,64.5,39.3,19.9,9.8,35.5,80.1,90.2,2.7,21.7,6.8,2.7,21.0,%
E14000996,36.3,38.5,100.0,58.3,21.0,,25.7,79.0,100.0,4.9,,,4.7,,%
E14000997,26.1,30.3,71.8,22.7,14.2,46.3,49.0,85.8,100.0,4.8,,,5.2,,%
E14000998,31.9,21.5,100.0,38.4,10.7,25.3,56.2,89.3,100.0,2.8,,,2.9,,%
E14000999,17.7,43.7,46.6,28.7,21.9,14.3,53.4,78.1,85.7,1.6,,5.5,1.5,,%
E14001000,29.0,46.0,78.3,50.8,26.1,63.8,84.2,73.9,69.8,4.3,,,4.7,,%
E14001001,20.2,44.2,79.4,38.9,19.8,50.8,20.6,80.2,92.9,5.8,,,6.2,,%
E14001002,32.9,27.6,74.5,59.0,23.2,48.3,,76.8,51.7,5.9,,,6.1,,%
E14001003,36.9,39.9,58.5,44.5,19.3,25.4,44.0,80.7,72.2,3.0,,,2.9,,%
E14001004,59.4,31.5,79.2,63.5,14.7,,32.0,85.3,100.0,4.0,,,4.3,,%
E14001005,33.3,36.8,100.0,51.7,25.0,53.5,22.7,75.0,79.0,5.7,,29.7,5.9,25.1,%
E14001006,16.7,39.0,43.2,44.0,21.8,44.7,56.8,78.2,55.3,2.0,51.8,20.4,1.9,,%
E14001007,23.4,29.5,45.4,30.8,19.0,27.7,57.6,81.0,100.0,13.9,64.2,43.9,14.1,,%
E14001008,29.4,29.6,39.9,84.6,22.4,84.6,60.1,77.6,80.8,9.3,,,9.5,,%
E14001009,38.2,36.2,61.8,33.0,16.4,38.4,38.2,83.6,100.0,7.1,,,7.2,,%
E14001010,16.6,37.2,100.0,100.0,17.9,56.3,,82.1,55.4,2.1,,,2.2,,%
E14001011,27.1,45.7,56.2,32.6,27.0,62.6,,73.0,89.1,7.0,,,7.2,,%
E14001012,49.3,41.8,78.4,61.4,24.4,48.9,38.2,75.6,51.1,8.1,,26.8,8.6,30.6,%
E14001013,26.8,25.4,100.0,56.4,19.2,52.0,,80.8,48.0,5.0,,77.9,5.2,77.9,%
E14001014,14.7,55.7,83.8,52.6,38.2,21.5,34.4,61.8,74.6,5.4,62.5,27.7,5.6,,%
E14001015,29.4,35.0,32.9,34.0,16.2,34.5,77.9,83.8,77.1,2.0,,,2.0,,%
E14001016,21.2,34.5,70.8,26.0,20.0,,58.3,80.0,89.1,6.4,,,6.7,,%
E14001017,20.9,42.9,62.0,50.1,24.3,,47.5,75.7,87.6,6.2,,,6.4,,%
E14001018,22.1,36.9,43.1,21.3,18.4,27.1,56.9,81.6,100.0,1.3,35.6,21.4,1.3,,%
E14001019,27.0,27.5,52.9,50.7,15.7,49.9,47.1,84.3,50.1,4.5,,13.5,4.8,,%
E14001020,10.1,39.6,18.4,10.6,19.9,,81.6,80.1,100.0,6.5,53.8,17.8,6.5,,%
E14001021,21.0,31.6,58.6,36.7,21.1,41.4,41.4,78.9,79.3,2.9,,28.3,3.0,,%
