quarter_index,lms_period,age_16_to_17_not_in_ft_education_in_employment_sa,age_18_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_in_employment_sa,men_16_to_24_not_in_ft_education_in_employment_sa,women_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_17_not_in_ft_education_unemployed_sa,age_18_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_unemployed_sa,men_16_to_24_not_in_ft_education_unemployed_sa,women_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_17_not_in_ft_education_economically_inactive_sa,age_18_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,men_16_to_24_not_in_ft_education_economically_inactive_sa,women_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_employment_rate_sa,age_16_to_17_not_in_ft_education_employment_rate_sa,age_18_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,men_16_to_24_not_in_ft_education_employment_rate_sa,women_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_17_not_in_ft_education_unemployment_rate_sa,age_18_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,men_16_to_24_not_in_ft_education_unemployment_rate_sa,women_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_economic_inactivity_rate_sa,age_16_to_17_not_in_ft_education_economic_inactivity_rate_sa,age_18_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,men_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,women_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_total_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_17_not_in_ft_education_total_sa,age_18_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,men_16_to_24_not_in_ft_education_total_sa,women_16_to_24_not_in_ft_education_total_sa,unemployment_rate_sa,economic_inactivity_rate_sa,age_16_to_24_in_employment_sa,age_16_to_24_unemployed_sa,age_16_to_24_economically_inactive_sa,age_16_to_24_unemployment_rate_sa,quarter_label,quarter_axis_label
46,2011-07-01,91.0,2734.0,2826.0,1518.0,1307.0,829.0,69.0,664.0,734.0,450.0,283.0,290.0,69.0,628.0,698.0,232.0,466.0,1995.0,49.6,39.8,67.9,66.4,69.0,63.6,26.6,43.1,19.5,20.6,22.9,17.8,25.9,36.5,30.1,15.6,16.4,10.5,22.7,64.1,7371.0,3115.0,230.0,4027.0,4257.0,2200.0,2056.0,8.3,23.4,3655.0,1024.0,2693.0,21.9,Jun-Aug 2011,Jun-Aug\n2011
47,2011-10-01,92.0,2680.0,2773.0,1455.0,1318.0,858.0,67.0,669.0,736.0,455.0,280.0,318.0,81.0,604.0,685.0,238.0,447.0,1997.0,49.3,38.4,67.8,66.1,67.7,64.4,27.0,41.9,20.0,21.0,23.8,17.5,27.0,36.4,33.8,15.3,16.3,11.1,21.9,62.9,7367.0,3173.0,241.0,3953.0,4194.0,2148.0,2046.0,8.6,23.2,3631.0,1054.0,2682.0,22.5,Sep-Nov 2011,Sep-Nov\n2011
48,2012-01-01,88.0,2681.0,2770.0,1457.0,1313.0,870.0,68.0,645.0,712.0,456.0,257.0,319.0,72.0,602.0,674.0,224.0,450.0,2017.0,49.4,38.7,68.3,66.6,68.2,65.0,27.1,43.4,19.4,20.5,23.8,16.3,26.8,36.6,31.7,15.3,16.2,10.5,22.3,62.9,7362.0,3206.0,228.0,3928.0,4156.0,2136.0,2020.0,8.5,23.2,3640.0,1031.0,2691.0,22.1,Dec-Feb 2012,Dec-Feb\n2012
49,2012-04-01,92.0,2695.0,2787.0,1473.0,1314.0,879.0,59.0,663.0,722.0,458.0,264.0,307.0,76.0,637.0,713.0,237.0,476.0,1951.0,49.8,40.6,67.5,66.0,68.0,64.0,28.0,39.1,19.7,20.6,23.7,16.7,25.9,36.2,33.4,15.9,16.9,10.9,23.2,62.2,7358.0,3136.0,227.0,3995.0,4222.0,2168.0,2054.0,8.3,23.0,3665.0,1029.0,2664.0,21.9,Mar-May 2012,Mar-May\n2012
50,2012-07-01,94.0,2737.0,2832.0,1508.0,1324.0,898.0,58.0,609.0,667.0,415.0,252.0,315.0,69.0,600.0,669.0,212.0,456.0,1972.0,50.7,42.7,69.4,67.9,70.6,65.1,28.2,38.0,18.2,19.1,21.6,16.0,25.9,35.9,31.0,15.2,16.0,9.9,22.5,61.9,7351.0,3184.0,221.0,3947.0,4167.0,2135.0,2032.0,8.1,22.6,3729.0,981.0,2640.0,20.8,Jun-Aug 2012,Jun-Aug\n2012
51,2012-10-01,83.0,2803.0,2886.0,1547.0,1339.0,850.0,48.0,597.0,646.0,391.0,254.0,335.0,62.0,590.0,652.0,213.0,439.0,1972.0,50.9,43.0,70.2,69.0,71.9,65.9,26.9,36.8,17.6,18.3,20.2,16.0,28.3,35.7,31.9,14.8,15.6,9.9,21.6,62.5,7341.0,3158.0,193.0,3990.0,4183.0,2152.0,2032.0,8.0,22.6,3735.0,981.0,2624.0,20.8,Sep-Nov 2012,Sep-Nov\n2012
52,2013-01-01,76.0,2752.0,2827.0,1511.0,1316.0,837.0,50.0,620.0,670.0,396.0,274.0,318.0,78.0,579.0,657.0,226.0,431.0,2022.0,50.0,37.2,69.6,68.1,70.8,65.1,26.3,39.7,18.4,19.2,20.8,17.2,27.5,36.5,38.3,14.7,15.8,10.6,21.3,63.6,7330.0,3176.0,203.0,3951.0,4154.0,2133.0,2021.0,8.2,22.5,3664.0,988.0,2678.0,21.2,Dec-Feb 2013,Dec-Feb\n2013
53,2013-04-01,73.0,2712.0,2785.0,1486.0,1299.0,866.0,51.0,621.0,673.0,398.0,275.0,293.0,70.0,556.0,627.0,219.0,408.0,2076.0,49.9,37.6,69.7,68.2,70.7,65.6,26.8,41.2,18.6,19.5,21.1,17.5,25.3,36.9,36.0,14.3,15.3,10.4,20.6,64.2,7320.0,3236.0,195.0,3889.0,4084.0,2103.0,1982.0,8.0,22.7,3651.0,966.0,2703.0,20.9,Mar-May 2013,Mar-May\n2013
54,2013-07-01,78.0,2740.0,2818.0,1495.0,1324.0,807.0,43.0,630.0,673.0,415.0,257.0,310.0,70.0,564.0,633.0,210.0,424.0,2070.0,49.6,41.0,69.7,68.3,70.5,66.0,25.3,35.6,18.7,19.3,21.7,16.3,27.7,37.0,36.4,14.3,15.4,9.9,21.1,64.9,7311.0,3186.0,191.0,3933.0,4124.0,2120.0,2005.0,7.9,22.4,3625.0,983.0,2703.0,21.3,Jun-Aug 2013,Jun-Aug\n2013
55,2013-10-01,89.0,2785.0,2874.0,1538.0,1337.0,840.0,51.0,587.0,639.0,392.0,246.0,300.0,59.0,559.0,618.0,211.0,407.0,2033.0,50.8,44.6,70.8,69.6,71.8,67.2,26.5,36.5,17.4,18.2,20.3,15.6,26.3,36.3,29.7,14.2,15.0,9.9,20.5,64.1,7304.0,3173.0,200.0,3931.0,4131.0,2141.0,1990.0,7.4,22.3,3714.0,939.0,2651.0,20.2,Sep-Nov 2013,Sep-Nov\n2013
56,2014-01-01,79.0,2827.0,2906.0,1544.0,1363.0,827.0,41.0,556.0,597.0,369.0,228.0,290.0,72.0,549.0,622.0,219.0,403.0,2056.0,51.2,41.2,71.9,70.5,72.4,68.4,26.1,34.0,16.4,17.0,19.3,14.3,25.9,36.7,37.6,14.0,15.1,10.3,20.2,64.8,7297.0,3173.0,192.0,3932.0,4125.0,2131.0,1993.0,7.1,22.2,3734.0,886.0,2677.0,19.2,Dec-Feb 2014,Dec-Feb\n2014
57,2014-04-01,85.0,2856.0,2941.0,1570.0,1372.0,857.0,34.0,501.0,535.0,333.0,203.0,279.0,68.0,564.0,632.0,218.0,413.0,2047.0,52.1,45.5,72.8,71.6,74.0,69.0,26.9,28.7,14.9,15.4,17.5,12.9,24.5,36.7,36.2,14.4,15.4,10.3,20.8,64.3,7291.0,3182.0,187.0,3921.0,4108.0,2121.0,1987.0,6.6,22.0,3798.0,814.0,2678.0,17.6,Mar-May 2014,Mar-May\n2014
58,2014-07-01,78.0,2901.0,2979.0,1587.0,1393.0,856.0,33.0,437.0,470.0,293.0,177.0,264.0,65.0,574.0,639.0,227.0,412.0,2076.0,52.7,44.4,74.2,72.9,75.3,70.3,26.8,29.7,13.1,13.6,15.6,11.3,23.6,37.3,36.9,14.7,15.6,10.8,20.8,65.0,7284.0,3196.0,177.0,3912.0,4088.0,2107.0,1981.0,6.2,22.3,3835.0,734.0,2715.0,16.1,Jun-Aug 2014,Jun-Aug\n2014
59,2014-10-01,89.0,2825.0,2914.0,1571.0,1343.0,850.0,41.0,482.0,523.0,314.0,209.0,249.0,68.0,598.0,666.0,213.0,453.0,2076.0,51.7,45.1,72.3,71.0,74.9,67.0,26.8,31.4,14.6,15.2,16.7,13.5,22.6,37.7,34.4,15.3,16.2,10.1,22.6,65.4,7278.0,3174.0,198.0,3905.0,4103.0,2098.0,2006.0,6.1,22.4,3764.0,772.0,2742.0,17.0,Sep-Nov 2014,Sep-Nov\n2014
60,2015-01-01,90.0,2902.0,2991.0,1618.0,1373.0,871.0,39.0,448.0,487.0,289.0,198.0,254.0,65.0,573.0,638.0,215.0,424.0,2029.0,53.1,46.2,74.0,72.7,76.3,68.8,27.6,30.3,13.4,14.0,15.2,12.6,22.6,36.7,33.7,14.6,15.5,10.1,21.2,64.3,7271.0,3155.0,194.0,3922.0,4116.0,2122.0,1994.0,5.8,22.2,3863.0,741.0,2667.0,16.1,Dec-Feb 2015,Dec-Feb\n2015
61,2015-04-01,83.0,2913.0,2996.0,1595.0,1401.0,872.0,34.0,431.0,465.0,286.0,179.0,253.0,60.0,562.0,622.0,216.0,406.0,2055.0,53.3,47.0,74.6,73.4,76.1,70.5,27.4,28.9,12.9,13.4,15.2,11.3,22.5,36.9,33.9,14.4,15.2,10.3,20.4,64.6,7265.0,3181.0,177.0,3906.0,4084.0,2097.0,1987.0,5.8,22.3,3869.0,718.0,2677.0,15.7,Mar-May 2015,Mar-May\n2015
62,2015-07-01,73.0,2909.0,2982.0,1603.0,1379.0,951.0,32.0,418.0,450.0,275.0,175.0,230.0,53.0,554.0,606.0,219.0,387.0,2036.0,54.2,46.2,75.0,73.8,76.4,71.1,29.6,30.5,12.6,13.1,14.6,11.2,19.5,36.4,33.5,14.3,15.0,10.5,19.9,63.3,7254.0,3217.0,157.0,3881.0,4038.0,2097.0,1940.0,5.6,22.3,3932.0,679.0,2642.0,14.7,Jun-Aug 2015,Jun-Aug\n2015
63,2015-10-01,74.0,2919.0,2993.0,1603.0,1390.0,969.0,30.0,387.0,417.0,250.0,167.0,216.0,50.0,551.0,600.0,226.0,374.0,2042.0,54.7,48.3,75.7,74.6,77.1,72.0,30.0,28.7,11.7,12.2,13.5,10.7,18.2,36.5,32.2,14.3,15.0,10.9,19.4,63.3,7237.0,3226.0,154.0,3856.0,4010.0,2080.0,1930.0,5.3,22.0,3962.0,632.0,2642.0,13.8,Sep-Nov 2015,Sep-Nov\n2015
64,2016-01-01,74.0,2916.0,2990.0,1599.0,1391.0,965.0,36.0,381.0,417.0,247.0,170.0,214.0,63.0,561.0,623.0,240.0,383.0,2009.0,54.8,42.9,75.6,74.2,76.7,71.5,30.3,32.6,11.6,12.2,13.4,10.9,18.2,36.5,36.3,14.5,15.5,11.5,19.7,63.0,7219.0,3189.0,173.0,3858.0,4030.0,2086.0,1944.0,5.3,21.9,3955.0,631.0,2633.0,13.8,Dec-Feb 2016,Dec-Feb\n2016
65,2016-04-01,87.0,2918.0,3005.0,1593.0,1412.0,933.0,37.0,362.0,399.0,238.0,160.0,212.0,63.0,555.0,617.0,256.0,361.0,2035.0,54.7,46.6,76.1,74.7,76.3,73.0,29.3,30.0,11.0,11.7,13.0,10.2,18.5,36.8,33.5,14.5,15.4,12.3,18.7,64.0,7201.0,3180.0,187.0,3834.0,4021.0,2088.0,1933.0,5.1,21.8,3938.0,611.0,2652.0,13.4,Mar-May 2016,Mar-May\n2016
66,2016-07-01,73.0,2919.0,2992.0,1575.0,1417.0,925.0,41.0,375.0,415.0,250.0,165.0,213.0,62.0,541.0,603.0,255.0,348.0,2033.0,54.5,41.7,76.1,74.6,75.7,73.4,29.2,35.8,11.4,12.2,13.7,10.4,18.7,36.7,35.1,14.1,15.0,12.3,18.0,64.1,7181.0,3170.0,176.0,3834.0,4011.0,2080.0,1930.0,5.2,21.6,3917.0,628.0,2636.0,13.8,Jun-Aug 2016,Jun-Aug\n2016
67,2016-10-01,76.0,2938.0,3014.0,1578.0,1436.0,913.0,35.0,345.0,379.0,245.0,134.0,190.0,68.0,560.0,628.0,275.0,353.0,2031.0,54.9,42.5,76.5,74.9,75.2,74.7,29.1,31.4,10.5,11.2,13.4,8.5,17.3,37.2,38.1,14.6,15.6,13.1,18.4,64.8,7155.0,3133.0,178.0,3843.0,4021.0,2098.0,1923.0,5.0,21.8,3926.0,570.0,2659.0,12.7,Sep-Nov 2016,Sep-Nov\n2016
68,2017-01-01,77.0,2905.0,2982.0,1587.0,1395.0,929.0,33.0,330.0,364.0,236.0,127.0,193.0,56.0,557.0,613.0,263.0,350.0,2049.0,54.9,46.2,76.6,75.3,76.1,74.5,29.3,30.2,10.2,10.9,13.0,8.4,17.2,37.3,33.8,14.7,15.5,12.6,18.7,64.6,7129.0,3171.0,166.0,3792.0,3958.0,2086.0,1873.0,4.8,21.8,3911.0,557.0,2662.0,12.5,Dec-Feb 2017,Dec-Feb\n2017
69,2017-04-01,81.0,2934.0,3015.0,1611.0,1404.0,884.0,32.0,328.0,359.0,224.0,135.0,197.0,61.0,541.0,601.0,262.0,339.0,2047.0,54.9,46.7,77.2,75.8,76.8,74.8,28.3,28.1,10.0,10.6,12.2,8.8,18.2,37.3,35.0,14.2,15.1,12.5,18.0,65.5,7103.0,3127.0,173.0,3802.0,3976.0,2098.0,1878.0,4.6,21.7,3899.0,556.0,2648.0,12.5,Mar-May 2017,Mar-May\n2017
70,2017-07-01,81.0,2917.0,2998.0,1593.0,1405.0,850.0,35.0,318.0,354.0,205.0,149.0,180.0,73.0,539.0,612.0,272.0,340.0,2084.0,54.4,42.8,77.3,75.6,77.0,74.2,27.3,30.3,9.8,10.5,11.4,9.6,17.4,38.1,38.6,14.3,15.4,13.1,18.0,66.9,7078.0,3114.0,190.0,3774.0,3964.0,2069.0,1894.0,4.5,21.6,3848.0,533.0,2696.0,12.2,Jun-Aug 2017,Jun-Aug\n2017
71,2017-10-01,86.0,2895.0,2981.0,1594.0,1387.0,861.0,37.0,319.0,356.0,210.0,145.0,179.0,74.0,551.0,625.0,286.0,339.0,2054.0,54.5,43.7,76.9,75.2,76.2,74.1,27.8,29.9,9.9,10.7,11.7,9.5,17.2,38.0,37.7,14.6,15.8,13.7,18.1,66.4,7055.0,3093.0,197.0,3765.0,3962.0,2091.0,1871.0,4.4,21.4,3841.0,535.0,2679.0,12.2,Sep-Nov 2017,Sep-Nov\n2017
72,2018-01-01,85.0,2868.0,2953.0,1565.0,1388.0,865.0,35.0,314.0,349.0,203.0,146.0,174.0,70.0,587.0,657.0,302.0,355.0,2034.0,54.3,44.8,76.1,74.6,75.6,73.5,28.2,29.3,9.9,10.6,11.5,9.5,16.8,38.3,36.6,15.6,16.6,14.6,18.8,66.2,7032.0,3073.0,190.0,3769.0,3959.0,2070.0,1889.0,4.4,21.4,3818.0,523.0,2691.0,12.1,Dec-Feb 2018,Dec-Feb\n2018
73,2018-04-01,80.0,2853.0,2933.0,1556.0,1376.0,897.0,27.0,329.0,356.0,210.0,146.0,164.0,74.0,570.0,644.0,285.0,359.0,2014.0,54.7,44.2,76.0,74.6,75.9,73.2,29.2,25.2,10.3,10.8,11.9,9.6,15.5,37.9,40.9,15.2,16.4,13.9,19.1,65.5,7009.0,3076.0,181.0,3752.0,3932.0,2052.0,1881.0,4.3,21.2,3830.0,520.0,2658.0,12.0,Mar-May 2018,Mar-May\n2018
74,2018-07-01,80.0,2875.0,2955.0,1600.0,1355.0,872.0,16.0,289.0,305.0,184.0,121.0,162.0,78.0,569.0,647.0,263.0,384.0,2045.0,54.8,46.0,77.0,75.6,78.2,72.9,28.3,16.5,9.1,9.3,10.3,8.2,15.7,38.5,44.9,15.2,16.6,12.8,20.6,66.4,6986.0,3079.0,174.0,3732.0,3906.0,2047.0,1859.0,4.2,21.4,3827.0,467.0,2691.0,10.9,Jun-Aug 2018,Jun-Aug\n2018
75,2018-10-01,63.0,2906.0,2969.0,1605.0,1364.0,885.0,29.0,307.0,336.0,192.0,144.0,175.0,75.0,537.0,612.0,233.0,379.0,1987.0,55.3,37.9,77.5,75.8,79.1,72.3,29.0,31.6,9.5,10.2,10.7,9.6,16.5,37.3,44.6,14.3,15.6,11.5,20.1,65.2,6964.0,3047.0,167.0,3750.0,3917.0,2030.0,1888.0,4.2,21.2,3854.0,511.0,2599.0,11.7,Sep-Nov 2018,Sep-Nov\n2018
76,2019-01-01,83.0,2915.0,2999.0,1605.0,1393.0,862.0,21.0,324.0,345.0,211.0,134.0,148.0,73.0,498.0,571.0,237.0,334.0,2019.0,55.6,46.8,78.0,76.6,78.2,74.8,28.5,20.2,10.0,10.3,11.6,8.8,14.6,37.3,41.3,13.3,14.6,11.6,17.9,66.7,6943.0,3028.0,178.0,3737.0,3915.0,2053.0,1861.0,4.1,20.9,3860.0,493.0,2590.0,11.3,Dec-Feb 2019,Dec-Feb\n2019
77,2019-04-01,85.0,2817.0,2903.0,1530.0,1372.0,871.0,21.0,328.0,349.0,217.0,133.0,144.0,68.0,532.0,600.0,274.0,326.0,2055.0,54.5,49.0,76.6,75.4,75.7,75.0,28.4,19.8,10.4,10.7,12.4,8.8,14.2,38.4,38.8,14.5,15.6,13.6,17.8,66.9,6921.0,3069.0,174.0,3678.0,3852.0,2021.0,1831.0,4.0,21.1,3774.0,493.0,2655.0,11.6,Mar-May 2019,Mar-May\n2019
78,2019-07-01,85.0,2757.0,2842.0,1532.0,1310.0,862.0,27.0,330.0,357.0,233.0,124.0,137.0,86.0,564.0,650.0,273.0,377.0,2055.0,53.7,42.9,75.5,73.8,75.2,72.4,28.2,24.2,10.7,11.2,13.2,8.6,13.7,39.2,43.4,15.4,16.9,13.4,20.8,67.3,6903.0,3054.0,199.0,3650.0,3849.0,2039.0,1810.0,4.1,21.3,3704.0,494.0,2706.0,11.8,Jun-Aug 2019,Jun-Aug\n2019
79,2019-10-01,90.0,2806.0,2896.0,1546.0,1350.0,869.0,33.0,316.0,349.0,229.0,120.0,132.0,84.0,547.0,631.0,277.0,354.0,2015.0,54.6,43.4,76.5,74.7,75.3,74.0,28.8,26.9,10.1,10.8,12.9,8.2,13.2,38.4,40.6,14.9,16.3,13.5,19.4,66.8,6892.0,3016.0,207.0,3669.0,3877.0,2052.0,1825.0,4.0,20.9,3765.0,482.0,2646.0,11.3,Sep-Nov 2019,Sep-Nov\n2019
80,2020-01-01,71.0,2823.0,2894.0,1556.0,1337.0,930.0,37.0,320.0,358.0,223.0,135.0,156.0,80.0,563.0,643.0,292.0,351.0,1901.0,55.6,37.7,76.2,74.3,75.1,73.4,31.1,34.5,10.2,11.0,12.5,9.1,14.3,37.0,42.5,15.2,16.5,14.1,19.3,63.6,6882.0,2987.0,189.0,3706.0,3894.0,2072.0,1823.0,4.1,20.5,3824.0,513.0,2544.0,11.8,Dec-Feb 2020,Dec-Feb\n2020
81,2020-04-01,75.0,2795.0,2870.0,1546.0,1325.0,869.0,32.0,327.0,359.0,222.0,137.0,199.0,114.0,595.0,709.0,322.0,387.0,1857.0,54.5,33.9,75.2,72.9,74.0,71.7,29.7,29.8,10.5,11.1,12.6,9.4,18.7,37.4,51.6,16.0,18.0,15.4,20.9,63.5,6864.0,2926.0,222.0,3717.0,3938.0,2090.0,1848.0,4.3,21.1,3739.0,558.0,2566.0,13.0,Mar-May 2020,Mar-May\n2020
82,2020-07-01,48.0,2631.0,2679.0,1411.0,1267.0,834.0,26.0,362.0,388.0,252.0,136.0,194.0,94.0,527.0,622.0,286.0,336.0,2137.0,51.2,28.5,74.7,72.6,72.4,72.9,26.3,35.0,12.1,12.7,15.1,9.7,18.9,40.3,56.2,15.0,16.9,14.7,19.3,67.5,6853.0,3165.0,168.0,3520.0,3688.0,1949.0,1739.0,4.8,21.3,3512.0,582.0,2759.0,14.2,Jun-Aug 2020,Jun-Aug\n2020
83,2020-10-01,57.0,2648.0,2706.0,1443.0,1263.0,802.0,16.0,392.0,408.0,261.0,147.0,192.0,74.0,522.0,596.0,321.0,275.0,2135.0,51.3,38.8,74.3,72.9,71.2,74.9,25.6,22.1,12.9,13.1,15.3,10.4,19.3,39.9,50.3,14.7,16.1,15.9,16.3,68.2,6839.0,3129.0,148.0,3562.0,3710.0,2025.0,1686.0,5.3,21.3,3507.0,601.0,2731.0,14.6,Sep-Nov 2020,Sep-Nov\n2020
84,2021-01-01,46.0,2613.0,2660.0,1396.0,1264.0,749.0,15.0,361.0,376.0,241.0,135.0,203.0,70.0,530.0,600.0,310.0,290.0,2234.0,50.0,35.3,74.6,73.2,71.7,74.8,23.5,24.5,12.1,12.4,14.7,9.7,21.3,41.5,53.2,15.1,16.5,15.9,17.2,70.1,6821.0,3186.0,132.0,3504.0,3636.0,1946.0,1690.0,5.3,21.6,3409.0,579.0,2834.0,14.5,Dec-Feb 2021,Dec-Feb\n2021
85,2021-04-01,48.0,2662.0,2710.0,1431.0,1279.0,764.0,22.0,335.0,356.0,212.0,144.0,185.0,72.0,470.0,542.0,262.0,280.0,2252.0,51.0,34.1,76.8,75.1,75.1,75.1,23.9,30.8,11.2,11.6,12.9,10.1,19.5,41.0,50.7,13.6,15.0,13.8,16.4,70.4,6809.0,3200.0,142.0,3466.0,3608.0,1906.0,1702.0,5.1,21.7,3474.0,541.0,2794.0,13.5,Mar-May 2021,Mar-May\n2021
86,2021-07-01,54.0,2634.0,2688.0,1418.0,1271.0,916.0,18.0,282.0,300.0,187.0,114.0,194.0,64.0,505.0,569.0,281.0,288.0,2145.0,52.9,39.8,77.0,75.6,75.2,76.0,28.1,25.0,9.7,10.1,11.6,8.2,17.5,39.8,46.8,14.8,16.0,14.9,17.2,65.9,6813.0,3255.0,137.0,3421.0,3558.0,1886.0,1672.0,4.7,21.5,3604.0,494.0,2714.0,12.1,Jun-Aug 2021,Jun-Aug\n2021
87,2021-10-01,50.0,2656.0,2706.0,1419.0,1286.0,960.0,20.0,269.0,289.0,181.0,107.0,164.0,81.0,542.0,623.0,319.0,304.0,2074.0,53.8,33.0,76.6,74.8,73.9,75.8,30.0,28.6,9.2,9.6,11.3,7.7,14.6,39.6,53.8,15.6,17.2,16.6,17.9,64.9,6815.0,3198.0,150.0,3467.0,3617.0,1919.0,1698.0,4.3,21.7,3665.0,453.0,2697.0,11.0,Sep-Nov 2021,Sep-Nov\n2021
88,2022-01-01,69.0,2678.0,2747.0,1439.0,1308.0,943.0,22.0,269.0,292.0,191.0,100.0,173.0,93.0,524.0,617.0,300.0,317.0,2043.0,54.1,37.4,77.1,75.1,74.5,75.8,29.8,24.6,9.1,9.6,11.7,7.1,15.5,39.0,50.4,15.1,16.9,15.5,18.4,64.7,6814.0,3159.0,184.0,3471.0,3655.0,1930.0,1725.0,4.0,21.8,3689.0,465.0,2660.0,11.2,Dec-Feb 2022,Dec-Feb\n2022
89,2022-04-01,76.0,2741.0,2817.0,1463.0,1354.0,925.0,25.0,255.0,281.0,182.0,98.0,153.0,80.0,544.0,624.0,302.0,322.0,2021.0,54.9,42.0,77.4,75.7,75.1,76.3,29.8,25.0,8.5,9.1,11.1,6.8,14.2,38.8,44.0,15.4,16.8,15.5,18.1,65.2,6821.0,3099.0,181.0,3541.0,3722.0,1948.0,1774.0,4.0,21.5,3742.0,434.0,2645.0,10.4,Mar-May 2022,Mar-May\n2022
90,2022-07-01,74.0,2716.0,2789.0,1448.0,1342.0,952.0,22.0,203.0,225.0,143.0,82.0,147.0,71.0,524.0,595.0,283.0,312.0,2129.0,54.7,44.1,78.9,77.3,77.3,77.3,29.5,23.3,7.0,7.5,9.0,5.8,13.4,39.8,42.5,15.2,16.5,15.1,18.0,66.0,6837.0,3228.0,167.0,3442.0,3610.0,1874.0,1736.0,3.7,22.1,3741.0,372.0,2724.0,9.0,Jun-Aug 2022,Jun-Aug\n2022
91,2022-10-01,69.0,2694.0,2762.0,1405.0,1357.0,1008.0,19.0,302.0,321.0,197.0,124.0,165.0,109.0,556.0,665.0,318.0,348.0,2112.0,53.6,34.9,75.8,73.7,73.2,74.2,30.7,22.0,10.1,10.4,12.3,8.4,14.1,39.5,55.3,15.7,17.8,16.5,19.0,64.3,7034.0,3284.0,197.0,3552.0,3749.0,1920.0,1829.0,3.9,21.7,3770.0,486.0,2777.0,11.4,Sep-Nov 2022,Sep-Nov\n2022
92,2023-01-01,81.0,2756.0,2838.0,1490.0,1347.0,985.0,27.0,319.0,346.0,216.0,130.0,143.0,119.0,616.0,736.0,334.0,402.0,2003.0,54.2,35.7,74.7,72.4,73.1,71.7,31.5,24.9,10.4,10.9,12.7,8.8,12.7,38.9,52.5,16.7,18.8,16.4,21.4,64.0,7050.0,3131.0,228.0,3691.0,3919.0,2040.0,1879.0,4.0,21.6,3823.0,488.0,2739.0,11.3,Dec-Feb 2023,Dec-Feb\n2023
93,2023-04-01,71.0,2704.0,2775.0,1453.0,1322.0,1055.0,20.0,309.0,329.0,228.0,101.0,166.0,93.0,582.0,675.0,292.0,383.0,2067.0,54.2,38.4,75.2,73.4,73.6,73.2,32.1,22.5,10.2,10.6,13.6,7.1,13.6,38.8,50.5,16.2,17.9,14.8,21.2,62.9,7067.0,3288.0,184.0,3595.0,3779.0,1973.0,1806.0,4.1,21.3,3830.0,495.0,2742.0,11.4,Mar-May 2023,Mar-May\n2023
94,2023-07-01,76.0,2554.0,2629.0,1385.0,1245.0,991.0,15.0,346.0,361.0,249.0,112.0,175.0,106.0,626.0,732.0,316.0,416.0,2197.0,51.1,38.6,72.4,70.6,71.0,70.2,29.5,16.3,11.9,12.1,15.3,8.3,15.0,41.3,53.9,17.8,19.7,16.2,23.5,65.3,7085.0,3363.0,197.0,3526.0,3723.0,1949.0,1773.0,4.3,21.9,3620.0,536.0,2928.0,12.9,Jun-Aug 2023,Jun-Aug\n2023
95,2023-10-01,104.0,2621.0,2724.0,1441.0,1283.0,948.0,15.0,327.0,342.0,232.0,110.0,180.0,118.0,634.0,752.0,357.0,395.0,2162.0,51.7,43.8,73.2,71.4,71.0,71.8,28.8,12.8,11.1,11.1,13.9,7.9,16.0,41.0,49.8,17.7,19.7,17.6,22.1,65.7,7108.0,3290.0,236.0,3581.0,3818.0,2030.0,1788.0,4.0,21.9,3672.0,522.0,2913.0,12.4,Sep-Nov 2023,Sep-Nov\n2023
96,2024-01-01,84.0,2581.0,2664.0,1393.0,1271.0,894.0,33.0,307.0,340.0,219.0,121.0,182.0,104.0,657.0,761.0,395.0,366.0,2289.0,49.9,37.8,72.8,70.8,69.4,72.3,26.6,28.2,10.6,11.3,13.6,8.7,16.9,42.8,47.3,18.5,20.2,19.7,20.8,68.0,7130.0,3365.0,221.0,3545.0,3765.0,2007.0,1758.0,4.3,22.2,3558.0,522.0,3050.0,12.8,Dec-Feb 2024,Dec-Feb\n2024
